Time,RSRP,RSRQ,RSSI,SINR Rx[0],SINR Rx[1],Cycles,Test KPI type,Test KPI best,Test KPI worst,Test KPI avg,Intermediate KPI
2017-11-27 14:11:12.225,-86.3,-25.6,-12.4,21.2,20.5,2/0,Application thrpt,42612.8,42612.8,42612.8,69466
2017-11-27 14:11:12.715,-85.6,-27.8,-11,19.6,18.6,2/0,Application thrpt,42612.8,42612.8,42612.8,69466
2017-11-27 14:11:12.940,-85.6,-27.8,-11,19.6,18.6,2/0,Application thrpt,42612.8,42612.8,42612.8,80329
2017-11-27 14:11:13.230,-85,-25.5,-14.3,16.6,15.4,2/0,Application thrpt,42612.8,42612.8,42612.8,80329
2017-11-27 14:11:13.715,-87.3,-25.1,-15,13.6,14.3,2/0,Application thrpt,42612.8,42612.8,42612.8,80329
2017-11-27 14:11:14.230,-85.1,-27.9,-10.4,20.3,19.1,2/0,Application thrpt,42612.8,42612.8,42612.8,80329
2017-11-27 14:11:14.720,-85.6,-22.7,-11.1,21.4,21.9,2/0,Application thrpt,42612.8,42612.8,42612.8,80329
2017-11-27 14:11:14.940,-85.6,-22.7,-11.1,21.4,21.9,2/0,Application thrpt,42612.8,42612.8,42612.8,82523
2017-11-27 14:11:15.275,-86.5,-24.7,-14.6,17.9,19,2/0,Application thrpt,42612.8,42612.8,42612.8,82523
2017-11-27 14:11:15.790,-85,-24.4,-14.4,21.8,21.6,2/0,Application thrpt,42612.8,42612.8,42612.8,82523
2017-11-27 14:11:16.280,-86.7,-24.7,-13.6,21.1,20.5,2/0,Application thrpt,42612.8,42612.8,42612.8,82523
2017-11-27 14:11:16.790,-85.6,-23.5,-13.3,20.5,20.6,2/0,Application thrpt,42612.8,42612.8,42612.8,82523
2017-11-27 14:11:16.945,-85.6,-23.5,-13.3,20.5,20.6,2/0,Application thrpt,42612.8,42612.8,42612.8,90973
2017-11-27 14:11:17.435,-85,-25.1,-11.9,20,18.7,2/0,Application thrpt,42612.8,42612.8,42612.8,90973
2017-11-27 14:11:17.945,-81.2,-25.8,-109.9,22.5,21.9,2/0,Application thrpt,42612.8,42612.8,42612.8,90973
2017-11-27 14:11:19.75,-81.2,-25.8,-109.9,22.5,21.9,2/0,Application thrpt,42612.8,42612.8,42612.8,72567
2017-11-27 14:11:19.210,-82.3,-15.9,-13.7,21.6,21.5,2/0,Application thrpt,42612.8,42612.8,42612.8,72567
2017-11-27 14:11:20.675,-82.1,-21,-106.9,21,21.2,2/0,Application thrpt,42612.8,42612.8,42612.8,72567
2017-11-27 14:11:21.75,-82.1,-21,-106.9,21,21.2,2/0,Application thrpt,42612.8,42612.8,42612.8,90404
2017-11-27 14:11:21.180,-75.9,-28.2,-94.3,22.8,22.3,2/0,Application thrpt,42612.8,42612.8,42612.8,90404
2017-11-27 14:11:21.675,-77.4,-14,-99.9,23.1,23.6,2/0,Application thrpt,42612.8,42612.8,42612.8,90404
2017-11-27 14:11:22.200,-72.4,-19.1,-80.7,20.8,20,2/0,Application thrpt,42612.8,42612.8,42612.8,90404
2017-11-27 14:11:22.715,-77.1,-25.3,-95.3,22.3,21.6,2/0,Application thrpt,42612.8,42612.8,42612.8,90404
2017-11-27 14:11:23.75,-77.1,-25.3,-95.3,22.3,21.6,2/0,Application thrpt,42612.8,42612.8,42612.8,100578
2017-11-27 14:11:23.230,-75.7,-28.4,-92.1,21.6,20.1,2/0,Application thrpt,42612.8,42612.8,42612.8,100578
2017-11-27 14:11:23.715,-76.4,-26.9,-96.4,22.2,22.1,2/0,Application thrpt,42612.8,42612.8,42612.8,100578
2017-11-27 14:11:24.270,-73.7,-28.2,-84.6,22.7,22.2,2/0,Application thrpt,42612.8,42612.8,42612.8,100578
2017-11-27 14:11:24.800,-76.7,-24.2,-90.3,22.7,22.3,2/0,Application thrpt,42612.8,42612.8,42612.8,100578
2017-11-27 14:11:25.80,-76.7,-24.2,-90.3,22.7,22.3,2/0,Application thrpt,42612.8,42612.8,42612.8,107669
2017-11-27 14:11:25.275,-72.8,-27.3,-70.4,23,23,2/0,Application thrpt,42612.8,42612.8,42612.8,107669
2017-11-27 14:11:25.830,-70.9,-23.8,-72.2,23.5,23.6,2/0,Application thrpt,42612.8,42612.8,42612.8,107669
2017-11-27 14:11:26.315,-71.7,-28.4,-74.9,23.3,23.3,2/0,Application thrpt,42612.8,42612.8,42612.8,107669
2017-11-27 14:11:26.845,-73.9,-24.1,-84.6,20.4,20.4,2/0,Application thrpt,42612.8,42612.8,42612.8,107669
2017-11-27 14:11:27.85,-73.9,-24.1,-84.6,20.4,20.4,2/0,Application thrpt,42612.8,42612.8,42612.8,114895
2017-11-27 14:11:27.240,-69.2,-28.1,-66.3,20.3,20.8,2/0,Application thrpt,42612.8,42612.8,42612.8,114895
2017-11-27 14:11:27.915,-73.6,-27.6,-79.9,18.4,18.1,2/0,Application thrpt,42612.8,42612.8,42612.8,114895
