Time,SINR Rx[0],RSRP Rx[0],SINR Rx[1],RSRP Rx[1],Cycles,Test KPI type,Test KPI best,Test KPI worst,Test KPI avg,Intermediate KPI,Lat,Long
2017-11-27 14:07:45.440,,,,,,,,,,,,
2017-11-27 14:07:45.445,6.2,-102.3,12.9,-99.8,,,,,,,,
2017-11-27 14:07:45.605,6.2,-102.3,12.9,-99.8,1/0,,,,,,,
2017-11-27 14:07:46.625,7.7,-101.7,9.8,-102.1,1/0,,,,,,,
2017-11-27 14:07:47.135,5.3,-103.4,8.2,-102.0,1/0,,,,,,,
2017-11-27 14:07:47.625,8.7,-99.6,8.8,-101.9,1/0,,,,,,,
2017-11-27 14:07:48.185,11.3,-95.3,9.1,-101.7,1/0,,,,,,,
2017-11-27 14:07:48.700,9.3,-99.1,10.4,-101.5,1/0,,,,,,,
2017-11-27 14:07:48.755,9.3,-99.1,10.4,-101.5,1/0,,,,,22879,,
2017-11-27 14:07:49.185,5.3,-101.6,6.2,-103.9,1/0,,,,,22879,,
2017-11-27 14:07:49.740,6.5,-99.8,5.9,-103.3,1/0,,,,,22879,,
2017-11-27 14:07:50.225,4.5,-100.0,5.0,-102.9,1/0,,,,,22879,,
2017-11-27 14:07:50.755,4.5,-100.0,5.0,-102.9,1/0,,,,,27399,,
2017-11-27 14:07:50.775,4.7,-100.1,4.4,-102.9,1/0,,,,,27399,,
2017-11-27 14:07:51.265,3.2,-100.7,2.6,-103.7,1/0,,,,,27399,,
2017-11-27 14:07:52.760,3.2,-100.7,2.6,-103.7,1/0,,,,,13081,,
2017-11-27 14:07:53.100,2.8,-100.1,5.9,-99.0,1/0,,,,,13081,,
2017-11-27 14:07:53.615,11.8,-92.4,9.4,-95.6,1/0,,,,,13081,,
2017-11-27 14:07:54.105,8.4,-94.5,4.4,-98.1,1/0,,,,,13081,,
2017-11-27 14:07:54.610,9.8,-93.9,8.7,-94.2,1/0,,,,,13081,,
2017-11-27 14:07:54.760,9.8,-93.9,8.7,-94.2,1/0,,,,,32175,,
2017-11-27 14:07:55.105,5.7,-91.5,4.7,-93.8,1/0,,,,,32175,,
2017-11-27 14:07:55.580,2.3,-92.1,-1.2,-91.7,1/0,,,,,32175,,
2017-11-27 14:07:56.180,0.1,-88.8,-3.2,-92.6,1/0,,,,,32175,,
2017-11-27 14:07:56.710,4.1,-87.5,1.6,-90.9,1/0,,,,,32175,,
2017-11-27 14:07:56.770,4.1,-87.5,1.6,-90.9,1/0,,,,,14113,,
2017-11-27 14:07:57.205,2.5,-89.3,1.6,-91.6,1/0,,,,,14113,,
2017-11-27 14:07:57.705,13.1,-87.0,6.2,-92.8,1/0,,,,,14113,,
2017-11-27 14:07:58.225,6.1,-90.6,2.6,-94.1,1/0,,,,,14113,,
2017-11-27 14:07:58.700,5.1,-93.9,-0.5,-96.4,1/0,,,,,14113,,
2017-11-27 14:07:58.770,5.1,-93.9,-0.5,-96.4,1/0,,,,,19751,,
2017-11-27 14:07:59.340,5.9,-94.7,2.5,-98.4,1/0,,,,,19751,,
2017-11-27 14:07:59.830,5.5,-95.1,6.7,-95.8,1/0,,,,,19751,,
2017-11-27 14:08:00.350,5.8,-96.0,7.8,-94.3,1/0,,,,,19751,,
2017-11-27 14:08:00.775,5.8,-96.0,7.8,-94.3,1/0,,,,,23700,,
2017-11-27 14:08:00.830,6.2,-97.5,8.2,-96.1,1/0,,,,,23700,,
2017-11-27 14:08:01.360,6.1,-94.9,8.9,-95.3,1/0,,,,,23700,,
2017-11-27 14:08:01.905,6.1,-94.8,8.1,-94.1,1/0,,,,,23700,,
2017-11-27 14:08:02.430,7.1,-94.7,10.9,-92.2,1/0,,,,,23700,,
2017-11-27 14:08:02.775,7.1,-94.7,10.9,-92.2,1/0,,,,,42374,,
2017-11-27 14:08:02.905,9.5,-90.2,10.7,-89.8,1/0,,,,,42374,,
2017-11-27 14:08:03.470,11.1,-89.2,7.8,-92.6,1/0,,,,,42374,,
2017-11-27 14:08:03.995,13.7,-86.8,7.6,-94.8,1/0,,,,,42374,,
2017-11-27 14:08:04.515,8.8,-86.6,7.8,-91.9,1/0,,,,,42374,,
2017-11-27 14:08:04.775,8.8,-86.6,7.8,-91.9,1/0,,,,,36196,,
2017-11-27 14:08:04.995,10.6,-88.3,10.8,-87.9,1/0,,,,,36196,,
2017-11-27 14:08:05.745,10.1,-88.4,10.8,-90.7,1/0,,,,,36196,,
2017-11-27 14:08:06.235,3.7,-89.6,4.2,-91.7,1/0,,,,,36196,,
2017-11-27 14:08:06.750,6.3,-91.1,7.1,-92.6,1/0,,,,,36196,,
2017-11-27 14:08:06.780,6.3,-91.1,7.1,-92.6,1/0,,,,,34694,,
2017-11-27 14:08:07.265,6.8,-93.1,6.2,-93.4,1/0,,,,,34694,,
2017-11-27 14:08:07.745,5.0,-92.1,7.8,-90.8,1/0,,,,,34694,,
2017-11-27 14:08:08.285,9.6,-89.3,10.8,-90.2,1/0,,,,,34694,,
2017-11-27 14:08:08.780,9.6,-89.3,10.8,-90.2,1/0,,,,,40165,,
2017-11-27 14:08:08.950,11.8,-87.9,8.1,-94.0,1/0,,,,,40165,,
2017-11-27 14:08:10.425,8.0,-91.8,6.4,-93.9,1/0,,,,,40165,,
2017-11-27 14:08:10.780,8.0,-91.8,6.4,-93.9,1/0,,,,,25737,,
2017-11-27 14:08:10.950,5.6,-90.5,5.5,-93.8,1/0,,,,,25737,,
2017-11-27 14:08:11.435,5.8,-92.9,4.3,-96.5,1/0,,,,,25737,,
2017-11-27 14:08:11.955,6.0,-96.2,6.0,-96.7,1/0,,,,,25737,,
2017-11-27 14:08:12.435,5.5,-92.8,6.2,-94.2,1/0,,,,,25737,,
2017-11-27 14:08:12.785,5.5,-92.8,6.2,-94.2,1/0,,,,,24942,,
2017-11-27 14:08:13.210,5.9,-93.8,5.6,-95.8,1/0,,,,,24942,,
2017-11-27 14:08:14.80,7.3,-92.2,6.4,-95.3,1/0,,,,,24942,,
2017-11-27 14:08:14.555,9.8,-88.8,9.7,-91.0,1/0,,,,,24942,,
2017-11-27 14:08:14.785,9.8,-88.8,9.7,-91.0,1/0,,,,,37618,,
