Time,RSRP,RSRQ,RSSI,Average MCS Index,Num ACKs,Num NACKs,QPSK Rate,16-QAM Rate,64-QAM Rate,256-QAM Rate,Num of TBs,BLER,Average TB Size,Avg RB count,Intermediate KPI
2017-11-27 14:07:45.440,,,,,,,,,,,,,,,
2017-11-27 14:07:45.445,-99.8,-7.9,-82.2,,,,,,,,,,,,
2017-11-27 14:07:46.620,-99.8,-7.9,-82.2,,6,1,,,,,,,,,
2017-11-27 14:07:46.625,-101.7,-11.7,-86.9,,6,1,,,,,,,,,
2017-11-27 14:07:46.835,-101.7,-11.7,-86.9,0.4,6,1,100.0,0.0,0.0,0.0,17,0.0,49,13,
2017-11-27 14:07:47.115,-101.7,-11.7,-86.9,0.4,104,8,100.0,0.0,0.0,0.0,17,0.0,49,13,
2017-11-27 14:07:47.135,-102.0,-11.9,-78.3,0.4,104,8,100.0,0.0,0.0,0.0,17,0.0,49,13,
2017-11-27 14:07:47.380,-102.0,-11.9,-78.3,6.9,104,8,73.8,26.2,0.0,0.0,420,2.1,1310,87,
2017-11-27 14:07:47.625,-99.4,-16.7,-61.6,6.9,104,8,73.8,26.2,0.0,0.0,420,2.1,1310,87,
2017-11-27 14:07:47.640,-99.4,-16.7,-61.6,6.9,131,0,73.8,26.2,0.0,0.0,420,2.1,1310,87,
2017-11-27 14:07:47.885,-99.4,-16.7,-61.6,11.0,131,0,32.1,67.9,0.0,0.0,561,0.0,2024,84,
2017-11-27 14:07:48.160,-99.4,-16.7,-61.6,11.0,141,0,32.1,67.9,0.0,0.0,561,0.0,2024,84,
2017-11-27 14:07:48.185,-95.3,-16.6,-49.9,11.0,141,0,32.1,67.9,0.0,0.0,561,0.0,2024,84,
2017-11-27 14:07:48.395,-95.3,-16.6,-49.9,15.9,141,0,0.0,72.8,27.2,0.0,805,10.7,3258,88,
2017-11-27 14:07:48.690,-95.3,-16.6,-49.9,15.9,173,0,0.0,72.8,27.2,0.0,805,10.7,3258,88,
2017-11-27 14:07:48.700,-99.1,-25.7,-59.9,15.9,173,0,0.0,72.8,27.2,0.0,805,10.7,3258,88,
2017-11-27 14:07:48.755,-99.1,-25.7,-59.9,15.9,173,0,0.0,72.8,27.2,0.0,805,10.7,3258,88,22879
2017-11-27 14:07:48.900,-99.1,-25.7,-59.9,12.6,173,0,19.5,80.3,0.2,0.0,1014,11.1,2727,97,22879
2017-11-27 14:07:49.185,-101.6,-26.6,-67.8,12.6,173,0,19.5,80.3,0.2,0.0,1014,11.1,2727,97,22879
2017-11-27 14:07:49.195,-101.6,-26.6,-67.8,12.6,153,0,19.5,80.3,0.2,0.0,1014,11.1,2727,97,22879
2017-11-27 14:07:49.425,-101.6,-26.6,-67.8,10.4,153,0,48.9,51.1,0.0,0.0,980,6.0,2018,89,22879
2017-11-27 14:07:49.725,-101.6,-26.6,-67.8,10.4,155,0,48.9,51.1,0.0,0.0,980,6.0,2018,89,22879
2017-11-27 14:07:49.740,-99.8,-27.5,-62.8,10.4,155,0,48.9,51.1,0.0,0.0,980,6.0,2018,89,22879
2017-11-27 14:07:49.930,-99.8,-27.5,-62.8,12.3,155,0,13.7,86.3,0.0,0.0,962,12.6,2640,98,22879
2017-11-27 14:07:50.225,-100.0,-28.5,-59.8,12.3,155,0,13.7,86.3,0.0,0.0,962,12.6,2640,98,22879
2017-11-27 14:07:50.245,-100.0,-28.5,-59.8,12.3,163,0,13.7,86.3,0.0,0.0,962,12.6,2640,98,22879
2017-11-27 14:07:50.435,-100.0,-28.5,-59.8,8.4,163,0,81.6,18.4,0.0,0.0,880,6.8,1784,98,22879
2017-11-27 14:07:50.755,-100.0,-28.5,-59.8,8.4,163,0,81.6,18.4,0.0,0.0,880,6.8,1784,98,27399
2017-11-27 14:07:50.760,-100.0,-28.5,-59.8,8.4,154,0,81.6,18.4,0.0,0.0,880,6.8,1784,98,27399
2017-11-27 14:07:50.775,-100.1,-29.0,-60.0,8.4,154,0,81.6,18.4,0.0,0.0,880,6.8,1784,98,27399
2017-11-27 14:07:50.965,-100.1,-29.0,-60.0,11.1,154,0,21.6,78.4,0.0,0.0,904,11.0,2226,95,27399
2017-11-27 14:07:51.265,-100.7,-29.0,-59.5,11.1,154,0,21.6,78.4,0.0,0.0,904,11.0,2226,95,27399
2017-11-27 14:07:51.270,-100.7,-29.0,-59.5,11.1,132,0,21.6,78.4,0.0,0.0,904,11.0,2226,95,27399
2017-11-27 14:07:51.495,-100.7,-29.0,-59.5,9.7,132,0,46.9,50.6,2.6,0.0,625,18.6,1999,93,27399
2017-11-27 14:07:51.785,-100.7,-29.0,-59.5,9.7,134,5,46.9,50.6,2.6,0.0,625,18.6,1999,93,27399
2017-11-27 14:07:52.15,-100.7,-29.0,-59.5,7.9,134,5,98.2,1.8,0.0,0.0,446,9.4,1655,95,27399
2017-11-27 14:07:52.320,-100.7,-29.0,-59.5,7.9,137,13,98.2,1.8,0.0,0.0,446,9.4,1655,95,27399
2017-11-27 14:07:52.515,-100.7,-29.0,-59.5,7.5,137,13,86.7,13.3,0.0,0.0,534,13.7,1574,96,27399
2017-11-27 14:07:52.760,-100.7,-29.0,-59.5,7.5,137,13,86.7,13.3,0.0,0.0,534,13.7,1574,96,13081
2017-11-27 14:07:52.825,-100.7,-29.0,-59.5,7.5,136,3,86.7,13.3,0.0,0.0,534,13.7,1574,96,13081
2017-11-27 14:07:53.30,-100.7,-29.0,-59.5,9.6,136,3,52.9,46.8,0.3,0.0,673,1.9,2026,97,13081
2017-11-27 14:07:53.100,-98.6,-25.8,-41.7,9.6,136,3,52.9,46.8,0.3,0.0,673,1.9,2026,97,13081
2017-11-27 14:07:53.365,-98.6,-25.8,-41.7,9.6,166,0,52.9,46.8,0.3,0.0,673,1.9,2026,97,13081
2017-11-27 14:07:53.560,-98.6,-25.8,-41.7,13.8,166,0,0.0,89.8,10.2,0.0,904,7.6,2921,94,13081
2017-11-27 14:07:53.615,-92.2,-25.7,-32.3,13.8,166,0,0.0,89.8,10.2,0.0,904,7.6,2921,94,13081
2017-11-27 14:07:53.900,-92.2,-25.7,-32.3,13.8,155,2,0.0,89.8,10.2,0.0,904,7.6,2921,94,13081
2017-11-27 14:07:54.90,-92.2,-25.7,-32.3,13.1,155,2,25.5,51.9,22.6,0.0,783,19.5,2931,99,13081
2017-11-27 14:07:54.105,-94.5,-26.5,-39.4,13.1,155,2,25.5,51.9,22.6,0.0,783,19.5,2931,99,13081
2017-11-27 14:07:54.410,-94.5,-26.5,-39.4,13.1,157,2,25.5,51.9,22.6,0.0,783,19.5,2931,99,13081
2017-11-27 14:07:54.610,-93.4,-26.5,-35.0,13.1,157,2,25.5,51.9,22.6,0.0,783,19.5,2931,99,13081
2017-11-27 14:07:54.635,-93.4,-26.5,-35.0,12.3,157,2,16.9,83.1,0.0,0.0,1038,3.8,2619,96,13081
2017-11-27 14:07:54.760,-93.4,-26.5,-35.0,12.3,157,2,16.9,83.1,0.0,0.0,1038,3.8,2619,96,32175
2017-11-27 14:07:54.945,-93.4,-26.5,-35.0,12.3,138,0,16.9,83.1,0.0,0.0,1038,3.8,2619,96,32175
2017-11-27 14:07:55.105,-91.3,-27.5,-26.1,12.3,138,0,16.9,83.1,0.0,0.0,1038,3.8,2619,96,32175
