Time,RSRP,RSRQ,RSSI,SINR Rx[0],SINR Rx[1],Cycles,Test KPI type,Test KPI best,Test KPI worst,Test KPI avg,Intermediate KPI,Lat,Long
2017-12-06 12:35:02.245,-104.8,0.4,-109.8,19.8,14.1,1/5,,,,,3406,55.052878,9.784207
2017-12-06 12:35:02.570,-102.1,0.3,-100.5,23.1,16.7,1/5,,,,,3406,55.052878,9.784207
2017-12-06 12:35:03.675,-102.1,0.3,-100.5,23.1,16.7,1/5,,,,,14697,55.052878,9.784207
2017-12-06 12:35:03.855,-101.6,0.6,-98.8,23.4,15.1,1/5,,,,,14697,55.052878,9.784207
2017-12-06 12:35:05.140,-102.1,-7.9,-92.2,20.5,15.5,1/5,,,,,14697,55.052878,9.784207
2017-12-06 12:35:05.680,-102.1,-7.9,-92.2,20.5,15.5,1/5,,,,,6214,55.052878,9.784207
2017-12-06 12:35:06.410,-101.7,0.8,-99.5,22.2,15.7,1/5,,,,,6214,55.052878,9.784207
2017-12-06 12:35:07.185,-101.7,0.8,-99.5,22.2,15.7,1/5,,,,,6214,55.052877,9.784207
2017-12-06 12:35:07.690,-101.7,0.8,-99.5,22.2,15.7,1/5,,,,,6127,55.052877,9.784207
2017-12-06 12:35:07.700,-102.1,0.1,-100.3,22.5,16.1,1/5,,,,,6127,55.052877,9.784207
2017-12-06 12:35:08.975,-101.8,0.6,-100,22.3,15.5,1/5,,,,,6127,55.052877,9.784207
2017-12-06 12:35:09.685,-101.8,0.6,-100,22.3,15.5,1/5,,,,,5783,55.052877,9.784207
2017-12-06 12:35:10.265,-102.2,0.3,-101,23.1,15.2,1/5,,,,,5783,55.052877,9.784207
2017-12-06 12:35:11.220,-102.2,0.3,-101,23.1,15.2,1/5,,,,,5783,55.052877,9.784208
2017-12-06 12:35:11.540,-102.1,0.6,-101,22.4,16.6,1/5,,,,,5783,55.052877,9.784208
2017-12-06 12:35:11.735,-102.1,0.6,-101,22.4,16.6,1/5,,,,,6052,55.052877,9.784208
2017-12-06 12:35:12.830,-101.9,0.3,-100,21.9,16,1/5,,,,,6052,55.052877,9.784208
2017-12-06 12:35:13.695,-101.9,0.3,-100,21.9,16,1/5,,,,,4222,55.052877,9.784208
2017-12-06 12:35:14.110,-103.1,0.8,-105,21.2,18,1/5,,,,,4222,55.052877,9.784208
2017-12-06 12:35:15.395,-100.9,0.3,-96,23.7,18.9,1/5,,,,,4222,55.052877,9.784208
