Time,SINR Rx[0],RSRP Rx[0],SINR Rx[1],RSRP Rx[1],Cycles,Test KPI type,Test KPI best,Test KPI worst,Test KPI avg,Intermediate KPI,Lat,Long
2018-01-06 08:55:34.690,,,,,,,,,,,,
2018-01-06 08:55:34.705,11.4,-101.9,10.5,-101.1,,,,,,,,
2018-01-06 08:55:35.865,11.4,-101.9,10.5,-101.1,1/0,,,,,,,
2018-01-06 08:55:37.255,7.4,-106.1,5.8,-105.4,1/0,,,,,,,
2018-01-06 08:55:37.570,7.4,-106.1,5.8,-105.4,1/0,,,,,146,,
2018-01-06 08:55:37.760,8.3,-104.2,6.9,-105.9,1/0,,,,,146,,
2018-01-06 08:55:38.200,6.6,-106.2,6.1,-105.9,1/0,,,,,146,,
2018-01-06 08:55:38.700,9.9,-104.7,5.5,-108.9,1/0,,,,,146,,
2018-01-06 08:55:38.755,9.9,-104.7,5.5,-108.9,1/0,,,,,74,,
2018-01-06 08:55:39.265,11.2,-104.1,9.8,-103.8,1/0,,,,,74,,
2018-01-06 08:55:39.530,11.2,-104.1,9.8,-103.8,1/0,,,,,104,,
2018-01-06 08:55:39.725,10.6,-105.7,7.0,-106.5,1/0,,,,,104,,
2018-01-06 08:55:40.280,9.4,-108.5,7.4,-107.6,1/0,,,,,104,,
2018-01-06 08:55:40.495,9.4,-108.5,7.4,-107.6,1/0,,,,,63,,
2018-01-06 08:55:40.760,11.6,-106.4,7.8,-107.7,1/0,,,,,63,,
2018-01-06 08:55:41.405,9.1,-109.4,10.6,-105.9,1/0,,,,,63,,
2018-01-06 08:55:41.500,9.1,-109.4,10.6,-105.9,1/0,,,,,61,,
2018-01-06 08:55:41.725,9.3,-108.0,11.3,-104.4,1/0,,,,,61,,
2018-01-06 08:55:42.375,10.8,-107.1,9.4,-107.8,1/0,,,,,61,,
2018-01-06 08:55:42.540,10.8,-107.1,9.4,-107.8,1/0,,,,,100,,
2018-01-06 08:55:43.35,11.7,-104.9,8.3,-108.1,1/0,,,,,100,,
2018-01-06 08:55:43.530,11.7,-104.9,8.3,-108.1,1/0,,,,,99,,
2018-01-06 08:55:43.545,13.2,-103.9,8.1,-108.0,1/0,,,,,99,,
2018-01-06 08:55:44.70,12.5,-105.7,10.3,-106.7,1/0,,,,,99,,
2018-01-06 08:55:44.555,11.1,-107.7,10.3,-105.2,1/0,,,,,99,,
2018-01-06 08:55:44.800,11.1,-107.7,10.3,-105.2,1/0,,,,,98,,
2018-01-06 08:55:44.930,12.6,-106.3,9.3,-106.6,1/0,,,,,98,,
2018-01-06 08:55:45.530,12.6,-106.3,9.3,-106.6,1/0,,,,,97,,
2018-01-06 08:55:45.625,11.8,-109.1,8.4,-110.5,1/0,,,,,97,,
2018-01-06 08:55:45.895,13.1,-107.1,11.5,-107.5,1/0,,,,,97,,
2018-01-06 08:55:46.665,12.8,-107.2,12.0,-106.9,1/0,,,,,97,,
2018-01-06 08:55:46.720,12.8,-107.2,12.0,-106.9,1/0,,,,,96,,
2018-01-06 08:55:46.720,12.8,-107.2,12.0,-106.9,1/0,RTT,94,94,94,0,,
2018-01-06 08:55:46.740,12.8,-107.2,12.0,-106.9,2/0,RTT,94,94,94,0,,
2018-01-06 08:55:47.230,10.3,-106.1,10.2,-107.0,2/0,RTT,94,94,94,0,,
2018-01-06 08:55:47.745,10.8,-105.2,7.3,-108.9,2/0,RTT,94,94,94,0,,
2018-01-06 08:55:47.815,10.8,-105.2,7.3,-108.9,2/0,RTT,94,94,94,107,,
2018-01-06 08:55:48.120,14.2,-103.8,8.9,-109.6,2/0,RTT,94,94,94,107,,
2018-01-06 08:55:48.770,14.2,-103.8,8.9,-109.6,2/0,RTT,94,94,94,106,,
2018-01-06 08:55:48.775,8.1,-111.0,8.2,-111.8,2/0,RTT,94,94,94,106,,
2018-01-06 08:55:49.285,6.0,-114.5,4.9,-115.3,2/0,RTT,94,94,94,106,,
2018-01-06 08:55:49.705,6.0,-114.5,4.9,-115.3,2/0,RTT,94,94,94,73,,
2018-01-06 08:55:49.780,1.1,-119.6,0.7,-119.2,2/0,RTT,94,94,94,73,,
2018-01-06 08:55:50.20,9.6,-92.9,6.5,-97.2,2/0,RTT,94,94,94,73,,
2018-01-06 08:55:50.490,8.3,-94.5,8.5,-97.5,2/0,RTT,94,94,94,73,,
2018-01-06 08:55:50.660,8.3,-94.5,8.5,-97.5,2/0,RTT,94,94,94,28,,
2018-01-06 08:55:50.865,8.0,-95.1,8.2,-98.1,2/0,RTT,94,94,94,28,,
2018-01-06 08:55:51.420,10.1,-95.9,9.4,-97.9,2/0,RTT,94,94,94,28,,
2018-01-06 08:55:51.695,10.1,-95.9,9.4,-97.9,2/0,RTT,94,94,94,54,,
2018-01-06 08:55:52.60,2.8,-97.9,5.1,-98.5,2/0,RTT,94,94,94,54,,
2018-01-06 08:55:52.305,-0.2,-98.2,3.0,-99.1,2/0,RTT,94,94,94,54,,
2018-01-06 08:55:52.760,-0.2,-98.2,3.0,-99.1,2/0,RTT,94,94,94,33,,
2018-01-06 08:55:53.85,1.2,-97.8,3.9,-96.6,2/0,RTT,94,94,94,33,,
2018-01-06 08:55:53.630,0.9,-96.9,1.8,-98.1,2/0,RTT,94,94,94,33,,
2018-01-06 08:55:53.710,0.9,-96.9,1.8,-98.1,2/0,RTT,94,94,94,76,,
2018-01-06 08:55:54.215,2.6,-97.5,2.0,-99.6,2/0,RTT,94,94,94,76,,
2018-01-06 08:55:54.540,-8.9,-97.4,-4.4,-96.7,2/0,RTT,94,94,94,76,,
2018-01-06 08:55:54.705,-8.9,-97.4,-4.4,-96.7,2/0,RTT,94,94,94,71,,
2018-01-06 08:55:55.0,7.8,-91.9,11.4,-92.6,2/0,RTT,94,94,94,71,,
2018-01-06 08:55:55.420,8.0,-94.1,10.2,-93.8,2/0,RTT,94,94,94,71,,
2018-01-06 08:55:55.745,8.0,-94.1,10.2,-93.8,2/0,RTT,94,94,94,69,,
2018-01-06 08:55:56.10,12.9,-88.5,13.6,-89.8,2/0,RTT,94,94,94,69,,
2018-01-06 08:55:56.370,15.8,-86.2,13.2,-90.2,2/0,RTT,94,94,94,69,,
2018-01-06 08:55:56.690,15.8,-86.2,13.2,-90.2,2/0,RTT,94,94,94,52,,
2018-01-06 08:55:56.730,15.8,-86.2,13.2,-90.2,2/0,RTT,67,94,80,0,,
2018-01-06 08:55:56.740,15.8,-86.2,13.2,-90.2,3/0,RTT,67,94,80,0,,
2018-01-06 08:55:56.980,13.2,-92.5,13.2,-94.4,3/0,RTT,67,94,80,0,,
2018-01-06 08:55:57.300,6.1,-102.8,7.1,-102.4,3/0,RTT,67,94,80,0,,
2018-01-06 08:55:58.5,6.1,-102.8,7.1,-102.4,3/0,RTT,67,94,80,110,,
2018-01-06 08:55:58.105,5.2,-103.6,5.8,-105.1,3/0,RTT,67,94,80,110,,
2018-01-06 08:55:58.575,5.3,-102.1,4.5,-105.5,3/0,RTT,67,94,80,110,,
2018-01-06 08:55:58.790,4.7,-94.4,5.4,-96.1,3/0,RTT,67,94,80,110,,
2018-01-06 08:55:58.930,4.7,-94.4,5.4,-96.1,3/0,RTT,67,94,80,45,,
2018-01-06 08:55:59.55,4.5,-93.4,5.8,-95.6,3/0,RTT,67,94,80,45,,
2018-01-06 08:55:59.750,3.0,-92.8,4.3,-93.6,3/0,RTT,67,94,80,45,,
2018-01-06 08:55:59.915,3.0,-92.8,4.3,-93.6,3/0,RTT,67,94,80,85,,
2018-01-06 08:56:00.395,1.3,-91.2,3.0,-92.7,3/0,RTT,67,94,80,85,,
2018-01-06 08:56:00.645,-1.3,-92.2,2.9,-91.7,3/0,RTT,67,94,80,85,,
2018-01-06 08:56:00.915,-1.3,-92.2,2.9,-91.7,3/0,RTT,67,94,80,82,,
2018-01-06 08:56:01.285,2.0,-94.3,6.5,-92.8,3/0,RTT,67,94,80,82,,
2018-01-06 08:56:01.945,-5.0,-94.6,0.5,-92.8,3/0,RTT,67,94,80,82,,
2018-01-06 08:56:02.260,1.4,-98.3,6.3,-94.7,3/0,RTT,67,94,80,82,,
2018-01-06 08:56:03.5,8.0,-95.4,8.0,-100.1,3/0,RTT,67,94,80,82,,
2018-01-06 08:56:03.85,8.0,-95.4,8.0,-100.1,3/0,RTT,67,94,80,80,,
2018-01-06 08:56:03.540,9.9,-94.6,10.9,-97.8,3/0,RTT,67,94,80,80,,
2018-01-06 08:56:03.960,11.5,-92.1,13.5,-94.3,3/0,RTT,67,94,80,80,,
2018-01-06 08:56:04.75,11.5,-92.1,13.5,-94.3,3/0,RTT,67,94,80,38,,
2018-01-06 08:56:04.510,11.5,-91.2,14.1,-93.8,3/0,RTT,67,94,80,38,,
2018-01-06 08:56:04.930,11.5,-91.2,14.1,-93.8,3/0,RTT,67,94,80,79,,
2018-01-06 08:56:05.40,13.6,-89.3,15.7,-92.6,3/0,RTT,67,94,80,79,,
2018-01-06 08:56:05.545,14.1,-90.4,14.4,-94.4,3/0,RTT,67,94,80,79,,
2018-01-06 08:56:05.915,14.1,-90.4,14.4,-94.4,3/0,RTT,67,94,80,74,,
2018-01-06 08:56:06.70,12.3,-92.8,11.6,-96.4,3/0,RTT,67,94,80,74,,
2018-01-06 08:56:06.590,9.5,-97.1,9.2,-100.2,3/0,RTT,67,94,80,74,,
2018-01-06 08:56:06.950,9.5,-97.1,9.2,-100.2,3/0,RTT,67,94,79,0,,
2018-01-06 08:56:06.965,9.5,-97.1,9.2,-100.2,4/0,RTT,67,94,79,0,,
2018-01-06 08:56:07.140,5.5,-96.9,6.0,-100.8,4/0,RTT,67,94,79,0,,
2018-01-06 08:56:07.485,15.6,-94.4,15.9,-97.6,4/0,RTT,67,94,79,0,,
2018-01-06 08:56:07.915,15.6,-94.4,15.9,-97.6,4/0,RTT,67,94,79,75,,
2018-01-06 08:56:08.0,12.8,-92.0,13.2,-96.2,4/0,RTT,67,94,79,75,,
2018-01-06 08:56:08.445,11.7,-92.4,14.3,-95.4,4/0,RTT,67,94,79,75,,
2018-01-06 08:56:08.915,16.2,-93.9,17.9,-96.2,4/0,RTT,67,94,79,75,,
2018-01-06 08:56:08.920,16.2,-93.9,17.9,-96.2,4/0,RTT,67,94,79,65,,
2018-01-06 08:56:09.485,18.0,-93.3,20.0,-94.8,4/0,RTT,67,94,79,65,,
2018-01-06 08:56:10.105,18.1,-90.9,18.3,-91.7,4/0,RTT,67,94,79,65,,
2018-01-06 08:56:10.755,17.8,-92.2,18.8,-93.4,4/0,RTT,67,94,79,65,,
2018-01-06 08:56:11.35,17.8,-92.2,18.8,-93.4,4/0,RTT,67,94,79,113,,
2018-01-06 08:56:11.185,12.6,-92.5,11.6,-95.7,4/0,RTT,67,94,79,113,,
2018-01-06 08:56:11.870,16.1,-88.9,15.4,-92.3,4/0,RTT,67,94,79,113,,
2018-01-06 08:56:11.885,16.1,-88.9,15.4,-92.3,4/0,RTT,67,94,79,26,,
2018-01-06 08:56:12.205,8.7,-87.9,7.1,-93.2,4/0,RTT,67,94,79,26,,
2018-01-06 08:56:12.825,-2.5,-90.5,-5.5,-94.9,4/0,RTT,67,94,79,26,,
2018-01-06 08:56:13.20,-2.5,-90.5,-5.5,-94.9,4/0,RTT,67,94,79,95,,
2018-01-06 08:56:13.165,3.4,-90.8,4.4,-92.3,4/0,RTT,67,94,79,95,,
2018-01-06 08:56:13.940,3.4,-90.8,4.4,-92.3,4/0,RTT,67,94,79,96,,
2018-01-06 08:56:13.970,1.7,-96.0,5.2,-95.8,4/0,RTT,67,94,79,96,,
2018-01-06 08:56:14.475,10.8,-94.4,14.2,-94.4,4/0,RTT,67,94,79,96,,
2018-01-06 08:56:14.960,10.8,-94.4,14.2,-94.4,4/0,RTT,67,94,79,94,,
2018-01-06 08:56:14.965,9.7,-94.2,10.9,-94.4,4/0,RTT,67,94,79,94,,
2018-01-06 08:56:15.495,7.5,-94.0,8.3,-96.1,4/0,RTT,67,94,79,94,,
2018-01-06 08:56:15.975,7.5,-94.0,8.3,-96.1,4/0,RTT,67,94,79,53,,
2018-01-06 08:56:15.995,4.7,-95.7,5.9,-97.1,4/0,RTT,67,94,79,53,,
2018-01-06 08:56:16.480,4.4,-96.2,5.6,-97.5,4/0,RTT,67,94,79,53,,
2018-01-06 08:56:16.870,16.4,-93.8,18.6,-95.8,4/0,RTT,67,94,79,53,,
2018-01-06 08:56:16.875,16.4,-93.8,18.6,-95.8,4/0,RTT,67,94,79,28,,
2018-01-06 08:56:17.0,16.4,-93.8,18.6,-95.8,4/0,RTT,67,94,77,0,,
2018-01-06 08:56:17.100,16.4,-93.8,18.6,-95.8,5/0,RTT,67,94,77,0,,
2018-01-06 08:56:17.350,14.1,-92.8,15.2,-95.8,5/0,RTT,67,94,77,0,,
2018-01-06 08:56:17.705,2.2,-92.9,5.9,-93.9,5/0,RTT,67,94,77,0,,
2018-01-06 08:56:18.230,2.2,-92.9,5.9,-93.9,5/0,RTT,67,94,77,60,,
2018-01-06 08:56:18.420,19.4,-91.9,20.2,-93.5,5/0,RTT,67,94,77,60,,
2018-01-06 08:56:18.915,18.2,-91.8,20.1,-91.8,5/0,RTT,67,94,77,60,,
2018-01-06 08:56:19.120,18.2,-91.8,20.1,-91.8,5/0,RTT,67,94,77,80,,
2018-01-06 08:56:19.355,14.5,-91.4,17.9,-90.6,5/0,RTT,67,94,77,80,,
2018-01-06 08:56:19.830,17.3,-90.6,18.6,-91.3,5/0,RTT,67,94,77,80,,
2018-01-06 08:56:20.480,16.1,-90.0,16.6,-90.9,5/0,RTT,67,94,77,80,,
2018-01-06 08:56:20.810,16.8,-90.8,17.8,-90.8,5/0,RTT,67,94,77,80,,
2018-01-06 08:56:21.520,18.3,-88.8,19.4,-90.0,5/0,RTT,67,94,77,80,,
2018-01-06 08:56:21.765,16.6,-87.9,17.3,-88.8,5/0,RTT,67,94,77,80,,
2018-01-06 08:56:22.100,16.6,-87.9,17.3,-88.8,5/0,RTT,67,94,77,57,,
2018-01-06 08:56:22.540,14.4,-85.5,13.1,-87.1,5/0,RTT,67,94,77,57,,
2018-01-06 08:56:23.25,18.7,-85.2,18.4,-87.2,5/0,RTT,67,94,77,57,,
2018-01-06 08:56:23.200,18.7,-85.2,18.4,-87.2,5/0,RTT,67,94,77,94,,
2018-01-06 08:56:23.435,12.2,-84.6,15.6,-83.9,5/0,RTT,67,94,77,94,,
2018-01-06 08:56:23.995,10.0,-85.5,14.7,-84.3,5/0,RTT,67,94,77,94,,
2018-01-06 08:56:24.145,10.0,-85.5,14.7,-84.3,5/0,RTT,67,94,77,74,,
2018-01-06 08:56:24.655,11.4,-85.1,13.0,-85.1,5/0,RTT,67,94,77,74,,
2018-01-06 08:56:24.970,10.9,-82.8,12.9,-86.9,5/0,RTT,67,94,77,74,,
