Time,SINR Rx[0],RSRP Rx[0],SINR Rx[1],RSRP Rx[1],Cycles,Test KPI type,Test KPI best,Test KPI worst,Test KPI avg,Intermediate KPI,Lat,Long
2018-01-06 16:27:25.450,,,,,,,,,,,,
2018-01-06 16:27:26.720,6.7,-105.2,4.6,-113.8,,,,,,,,
2018-01-06 16:27:27.80,6.7,-105.2,4.6,-113.8,1/0,,,,,,,
2018-01-06 16:27:27.760,6.7,-105.2,4.6,-113.8,1/0,,,,,,55.707518,12.580916
2018-01-06 16:27:27.985,12.6,-103.1,16.5,-101.9,1/0,,,,,,55.707518,12.580916
2018-01-06 16:27:29.290,5.1,-101.9,4.9,-102.1,1/0,,,,,,55.707518,12.580916
2018-01-06 16:27:29.420,5.1,-101.9,4.9,-102.1,1/0,,,,,30,55.707518,12.580916
2018-01-06 16:27:30.425,5.1,-101.9,4.9,-102.1,1/0,,,,,26,55.707518,12.580916
2018-01-06 16:27:30.570,9.0,-103.2,6.7,-102.4,1/0,,,,,26,55.707518,12.580916
2018-01-06 16:27:31.465,9.0,-103.2,6.7,-102.4,1/0,,,,,32,55.707518,12.580916
2018-01-06 16:27:31.850,9.4,-104.8,14.2,-101.9,1/0,,,,,32,55.707518,12.580916
2018-01-06 16:27:32.420,9.4,-104.8,14.2,-101.9,1/0,,,,,25,55.707518,12.580916
2018-01-06 16:27:33.130,16.4,-103.1,16.2,-100.5,1/0,,,,,25,55.707518,12.580916
2018-01-06 16:27:33.425,16.4,-103.1,16.2,-100.5,1/0,,,,,24,55.707518,12.580916
2018-01-06 16:27:34.410,12.0,-104.2,15.1,-101.6,1/0,,,,,24,55.707518,12.580916
2018-01-06 16:27:34.425,12.0,-104.2,15.1,-101.6,1/0,,,,,30,55.707518,12.580916
2018-01-06 16:27:35.510,12.0,-104.2,15.1,-101.6,1/0,,,,,34,55.707518,12.580916
2018-01-06 16:27:35.695,8.7,-103.8,12.3,-100.1,1/0,,,,,34,55.707518,12.580916
2018-01-06 16:27:36.430,8.7,-103.8,12.3,-100.1,1/0,,,,,28,55.707518,12.580916
2018-01-06 16:27:36.970,7.1,-104.2,6.6,-101.4,1/0,,,,,28,55.707518,12.580916
2018-01-06 16:27:37.485,7.1,-104.2,6.6,-101.4,1/0,,,,,28,55.707517,12.580917
2018-01-06 16:27:38.255,10.9,-103.8,13.6,-101.4,1/0,,,,,28,55.707517,12.580917
2018-01-06 16:27:38.430,10.9,-103.8,13.6,-101.4,1/0,,,,,0,55.707517,12.580917
2018-01-06 16:27:38.460,10.9,-103.8,13.6,-101.4,2/0,,,,,0,55.707517,12.580917
2018-01-06 16:27:38.480,10.9,-103.8,13.6,-101.4,2/0,,,,,0,55.707515,12.580917
2018-01-06 16:27:39.445,10.9,-103.8,13.6,-101.4,2/0,,,,,28,55.707515,12.580917
2018-01-06 16:27:39.455,10.9,-103.8,13.6,-101.4,2/0,,,,,28,55.707513,12.580918
2018-01-06 16:27:39.535,11.7,-103.1,11.5,-100.3,2/0,,,,,28,55.707513,12.580918
2018-01-06 16:27:40.450,11.7,-103.1,11.5,-100.3,2/0,,,,,31,55.707513,12.580918
2018-01-06 16:27:40.480,11.7,-103.1,11.5,-100.3,2/0,,,,,31,55.707511,12.580918
2018-01-06 16:27:40.820,6.0,-104.6,6.6,-100.9,2/0,,,,,31,55.707511,12.580918
2018-01-06 16:27:41.545,6.0,-104.6,6.6,-100.9,2/0,,,,,31,55.707509,12.580919
2018-01-06 16:27:41.575,6.0,-104.6,6.6,-100.9,2/0,,,,,25,55.707509,12.580919
2018-01-06 16:27:42.65,15.3,-104.3,18.3,-100.9,2/0,,,,,25,55.707509,12.580919
2018-01-06 16:27:42.455,15.3,-104.3,18.3,-100.9,2/0,,,,,26,55.707509,12.580919
2018-01-06 16:27:42.480,15.3,-104.3,18.3,-100.9,2/0,,,,,26,55.707508,12.580919
2018-01-06 16:27:43.370,9.4,-102.8,11.6,-99.6,2/0,,,,,26,55.707508,12.580919
2018-01-06 16:27:43.480,9.4,-102.8,11.6,-99.6,2/0,,,,,26,55.707507,12.580920
2018-01-06 16:27:44.450,9.4,-102.8,11.6,-99.6,2/0,,,,,24,55.707507,12.580920
2018-01-06 16:27:44.460,9.4,-102.8,11.6,-99.6,2/0,,,,,24,55.707505,12.580920
2018-01-06 16:27:44.655,10.0,-102.1,8.1,-100.8,2/0,,,,,24,55.707505,12.580920
2018-01-06 16:27:45.455,10.0,-102.1,8.1,-100.8,2/0,,,,,14,55.707505,12.580920
2018-01-06 16:27:45.460,10.0,-102.1,8.1,-100.8,2/0,,,,,14,55.707504,12.580920
2018-01-06 16:27:45.930,9.6,-103.2,11.1,-100.8,2/0,,,,,14,55.707504,12.580920
2018-01-06 16:27:46.475,9.6,-103.2,11.1,-100.8,2/0,,,,,14,55.707503,12.580921
2018-01-06 16:27:46.475,9.6,-103.2,11.1,-100.8,2/0,,,,,32,55.707503,12.580921
