Time,SINR Rx[0],SINR Rx[1],RSRP Rx[0],RSRQ Rx[0],RSSI Rx[0],RSRP Rx[1],RSRQ Rx[1],RSSI Rx[1],Bandwidth,Num of Subframes,Avg RB count,Average TB Size,Num of TBs,Tx Antennas,Average MCS Index,Num QPSK (LTE DL),Num 16QAM (LTE DL),Num 64QAM (LTE DL),Number of carriers DL,Num 256QAM (LTE DL),Num ACKs,Num NACKs,QPSK Rate,16-QAM Rate,64-QAM Rate,256-QAM Rate,Reporting Mode,CQI0/CQI1,BLER,PDSCH Thrpt,Test KPI type,Test KPI avg,Test KPI worst,Test KPI best,Test KPI last,Intermediate KPI,IP Thrpt DL
2018-01-06 16:27:25.450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-06 16:27:26.720,6.7,4.6,-105.2,-8.4,-78.1,-113.8,-8.7,-86.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-06 16:27:27.985,12.6,16.5,-103.1,-7.2,-77.1,-101.9,-6.2,-76.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-06 16:27:27.985,12.6,16.5,-103.1,-7.2,-77.1,-101.9,-6.2,-76.9,15,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
2018-01-06 16:27:28.485,12.6,16.5,-103.1,-7.2,-77.1,-101.9,-6.2,-76.9,15,,,,,2,,,,,,,,,,,,,,,,,,,,,,,0
2018-01-06 16:27:29.290,5.1,4.9,-101.9,-6.9,-76.3,-102.1,-9.0,-74.4,15,,,,,2,,,,,,,,,,,,,,,,,,,,,,,0
2018-01-06 16:27:29.420,5.1,4.9,-101.9,-6.9,-76.3,-102.1,-9.0,-74.4,15,,,,,2,,,,,,,,,,,,,,,,,,,,,,30,0
2018-01-06 16:27:30.320,5.1,4.9,-101.9,-6.9,-76.3,-102.1,-9.0,-74.4,15,,,,,2,,,,,,,,,,,,,,,,,,,,,,30,1
2018-01-06 16:27:30.425,5.1,4.9,-101.9,-6.9,-76.3,-102.1,-9.0,-74.4,15,,,,,2,,,,,,,,,,,,,,,,,,,,,,26,1
2018-01-06 16:27:30.570,9.0,6.7,-103.2,-8.1,-76.3,-102.4,-8.1,-75.6,15,,,,,2,,,,,,,,,,,,,,,,,,,,,,26,1
2018-01-06 16:27:31.235,9.0,6.7,-103.2,-8.1,-76.3,-102.4,-8.1,-75.6,15,,,,,2,,,,,,,,,,,,,,,,,,,,,,26,13
2018-01-06 16:27:31.465,9.0,6.7,-103.2,-8.1,-76.3,-102.4,-8.1,-75.6,15,,,,,2,,,,,,,,,,,,,,,,,,,,,,32,13
2018-01-06 16:27:31.850,9.4,14.2,-104.8,-8.1,-78.0,-101.9,-6.6,-76.5,15,,,,,2,,,,,,,,,,,,,,,,,,,,,,32,13
2018-01-06 16:27:32.140,9.4,14.2,-104.8,-8.1,-78.0,-101.9,-6.6,-76.5,15,,,,,2,,,,,,,,,,,,,,,,,,,,,,32,1
2018-01-06 16:27:32.420,9.4,14.2,-104.8,-8.1,-78.0,-101.9,-6.6,-76.5,15,,,,,2,,,,,,,,,,,,,,,,,,,,,,25,1
2018-01-06 16:27:33.130,16.4,16.2,-103.1,-7.8,-76.5,-100.5,-6.5,-75.2,15,,,,,2,,,,,,,,,,,,,,,,,,,,,,25,1
2018-01-06 16:27:33.425,16.4,16.2,-103.1,-7.8,-76.5,-100.5,-6.5,-75.2,15,,,,,2,,,,,,,,,,,,,,,,,,,,,,24,1
2018-01-06 16:27:34.145,16.4,16.2,-103.1,-7.8,-76.5,-100.5,-6.5,-75.2,15,,,,,2,,,,,,,,,,,,,,,,,,,,,,24,0
2018-01-06 16:27:34.410,12.0,15.1,-104.2,-7.4,-78.1,-101.6,-6.3,-76.5,15,,,,,2,,,,,,,,,,,,,,,,,,,,,,24,0
2018-01-06 16:27:34.425,12.0,15.1,-104.2,-7.4,-78.1,-101.6,-6.3,-76.5,15,,,,,2,,,,,,,,,,,,,,,,,,,,,,30,0
2018-01-06 16:27:35.510,12.0,15.1,-104.2,-7.4,-78.1,-101.6,-6.3,-76.5,15,,,,,2,,,,,,,,,,,,,,,,,,,,,,34,0
2018-01-06 16:27:35.695,8.7,12.3,-103.8,-12.5,-72.6,-100.1,-13.7,-67.6,15,,,,,2,,,,,,,,,,,,,,,,,,,,,,34,0
2018-01-06 16:27:36.430,8.7,12.3,-103.8,-12.5,-72.6,-100.1,-13.7,-67.6,15,,,,,2,,,,,,,,,,,,,,,,,,,,,,28,0
2018-01-06 16:27:36.970,7.1,6.6,-104.2,-8.4,-77.0,-101.4,-8.2,-74.4,15,,,,,2,,,,,,,,,,,,,,,,,,,,,,28,0
2018-01-06 16:27:37.95,7.1,6.6,-104.2,-8.4,-77.0,-101.4,-8.2,-74.4,15,,,,,2,,,,,,,,,,,,,,,,,,,,,,28,1
2018-01-06 16:27:38.5,7.1,6.6,-104.2,-8.4,-77.0,-101.4,-8.2,-74.4,15,,,,,2,,,,,,,,,,,,,,,,,,,,,,28,0
2018-01-06 16:27:38.255,10.9,13.6,-103.8,-7.6,-77.4,-101.4,-6.4,-76.2,15,,,,,2,,,,,,,,,,,,,,,,,,,,,,28,0
