Time,SINR Rx[0],RSRP Rx[0],SINR Rx[1],RSRP Rx[1],Cycles,Test KPI type,Test KPI best,Test KPI worst,Test KPI avg,Intermediate KPI,Lat,Long
2018-01-06 17:11:59.510,28.8,-83.1,27.8,-92.4,,,,,,,,
2018-01-06 17:12:00.335,28.8,-83.1,27.8,-92.4,1/0,,,,,,,
2018-01-06 17:12:01.75,28.8,-83.1,27.8,-92.4,1/0,,,,,,55.629809,12.653229
2018-01-06 17:12:01.905,28.8,-83.1,27.8,-92.4,1/0,,,,,,55.629808,12.653227
2018-01-06 17:12:02.45,21.0,-83.6,21.4,-89.6,1/0,,,,,,55.629808,12.653227
2018-01-06 17:12:02.155,21.0,-83.6,21.4,-89.6,1/0,,,,,150,55.629808,12.653227
2018-01-06 17:12:02.375,26.5,-84.5,25.8,-91.8,1/0,,,,,150,55.629808,12.653227
2018-01-06 17:12:02.475,26.5,-84.5,25.8,-91.8,1/0,,,,,150,55.629808,12.653226
2018-01-06 17:12:03.40,25.0,-84.0,25.4,-90.2,1/0,,,,,150,55.629808,12.653226
2018-01-06 17:12:03.295,25.0,-84.0,25.4,-90.2,1/0,,,,,76,55.629808,12.653226
2018-01-06 17:12:03.320,25.5,-83.8,25.0,-90.6,1/0,,,,,76,55.629808,12.653226
2018-01-06 17:12:03.545,25.5,-83.8,25.0,-90.6,1/0,,,,,76,55.629808,12.653225
2018-01-06 17:12:03.960,25.6,-82.9,24.7,-90.5,1/0,,,,,76,55.629808,12.653225
2018-01-06 17:12:04.170,25.6,-82.9,24.7,-90.5,1/0,,,,,116,55.629808,12.653225
2018-01-06 17:12:04.435,26.1,-82.3,25.0,-92.9,1/0,,,,,116,55.629808,12.653225
2018-01-06 17:12:05.120,26.1,-82.3,25.0,-92.9,1/0,,,,,76,55.629808,12.653225
2018-01-06 17:12:05.180,24.3,-83.7,22.7,-93.1,1/0,,,,,76,55.629808,12.653225
2018-01-06 17:12:05.655,24.9,-83.6,23.5,-92.5,1/0,,,,,76,55.629808,12.653225
2018-01-06 17:12:06.115,24.9,-83.6,23.5,-92.5,1/0,,,,,85,55.629808,12.653225
2018-01-06 17:12:06.170,24.9,-82.9,23.2,-92.1,1/0,,,,,85,55.629808,12.653225
2018-01-06 17:12:06.700,25.1,-83.1,22.2,-93.6,1/0,,,,,85,55.629808,12.653225
2018-01-06 17:12:07.60,25.1,-83.1,22.2,-93.6,1/0,,,,,74,55.629808,12.653225
2018-01-06 17:12:07.200,24.2,-82.7,22.2,-92.6,1/0,,,,,74,55.629808,12.653225
2018-01-06 17:12:07.475,27.7,-82.2,26.1,-91.8,1/0,,,,,74,55.629808,12.653225
2018-01-06 17:12:07.585,27.7,-82.2,26.1,-91.8,1/0,,,,,74,55.629807,12.653225
2018-01-06 17:12:08.65,27.7,-82.2,26.1,-91.8,1/0,,,,,82,55.629807,12.653225
2018-01-06 17:12:08.270,24.5,-82.3,24.1,-91.6,1/0,,,,,82,55.629807,12.653225
2018-01-06 17:12:08.480,24.5,-82.3,24.1,-91.6,1/0,,,,,82,55.629808,12.653222
2018-01-06 17:12:08.910,26.0,-82.2,24.7,-91.9,1/0,,,,,82,55.629808,12.653222
2018-01-06 17:12:09.285,26.0,-82.2,24.7,-91.9,1/0,,,,,75,55.629808,12.653222
2018-01-06 17:12:09.410,26.6,-83.3,24.2,-92.6,1/0,,,,,75,55.629808,12.653222
