Time,Intermediate KPI,RSRP
2018-01-18 19:58:34.395,,
2018-01-18 19:58:34.865,,-103.8
2018-01-18 19:58:35.450,,-102.7
2018-01-18 19:58:35.955,,-104.7
2018-01-18 19:58:36.440,,-103.0
2018-01-18 19:58:36.965,,-101.8
2018-01-18 19:58:37.310,21024,-101.8
2018-01-18 19:58:37.450,21024,-102.4
2018-01-18 19:58:37.995,21024,-103.2
2018-01-18 19:58:38.505,21024,-104.3
2018-01-18 19:58:38.995,21024,-103.0
2018-01-18 19:58:39.310,49544,-103.0
2018-01-18 19:58:39.555,49544,-102.0
2018-01-18 19:58:40.75,49544,-102.8
2018-01-18 19:58:40.560,49544,-100.0
2018-01-18 19:58:41.80,49544,-99.9
2018-01-18 19:58:41.315,71277,-99.9
2018-01-18 19:58:41.595,71277,-102.7
2018-01-18 19:58:42.85,71277,-101.5
2018-01-18 19:58:43.120,71277,-101.3
2018-01-18 19:58:43.315,61130,-101.3
2018-01-18 19:58:43.635,61130,-100.6
2018-01-18 19:58:44.200,61130,-103.9
2018-01-18 19:58:44.725,61130,-103.1
2018-01-18 19:58:45.200,61130,-103.5
2018-01-18 19:58:45.320,62845,-103.5
2018-01-18 19:58:45.770,62845,-104.6
2018-01-18 19:58:46.275,62845,-103.6
2018-01-18 19:58:46.775,62845,-103.0
2018-01-18 19:58:47.275,62845,-104.3
2018-01-18 19:58:47.320,63000,-104.3
2018-01-18 19:58:47.805,63000,-104.5
2018-01-18 19:58:48.315,63000,-104.4
2018-01-18 19:58:48.840,63000,-105.0
2018-01-18 19:58:49.320,64476,-105.0
2018-01-18 19:58:49.320,64476,-106.6
2018-01-18 19:58:49.840,64476,-105.4
2018-01-18 19:58:50.315,64476,-104.4
2018-01-18 19:58:50.845,64476,-103.8
2018-01-18 19:58:51.325,52512,-103.8
2018-01-18 19:58:51.355,52512,-107.0
2018-01-18 19:58:51.910,52512,-104.4
2018-01-18 19:58:52.405,52512,-103.7
2018-01-18 19:58:52.920,52512,-106.8
2018-01-18 19:58:53.335,60552,-106.8
2018-01-18 19:58:53.445,60552,-104.9
2018-01-18 19:58:53.955,60552,-106.1
2018-01-18 19:58:54.455,60552,-106.8
2018-01-18 19:58:54.930,60552,-106.3
2018-01-18 19:58:55.335,24554,-106.3
2018-01-18 19:58:55.450,24554,-106.6
2018-01-18 19:58:55.995,24554,-107.5
2018-01-18 19:58:56.485,24554,-104.6
2018-01-18 19:58:57.0,24554,-104.5
2018-01-18 19:58:57.340,35941,-104.5
2018-01-18 19:58:57.485,35941,-105.7
2018-01-18 19:58:57.990,35941,-105.1
2018-01-18 19:58:58.525,35941,-104.1
2018-01-18 19:58:59.45,35941,-105.0
2018-01-18 19:58:59.365,35970,-105.0
2018-01-18 19:58:59.565,35970,-104.5
2018-01-18 19:59:00.80,35970,-104.2
2018-01-18 19:59:00.560,35970,-105.6
2018-01-18 19:59:01.120,35970,-105.4
2018-01-18 19:59:01.350,54344,-105.4
2018-01-18 19:59:01.605,54344,-105.8
2018-01-18 19:59:02.120,54344,-101.7
2018-01-18 19:59:02.630,54344,-100.2
2018-01-18 19:59:03.160,54344,-102.3
2018-01-18 19:59:03.350,62479,-102.3
2018-01-18 19:59:03.680,62479,-103.3
2018-01-18 19:59:04.205,62479,-102.4
2018-01-18 19:59:04.720,62479,-103.0
2018-01-18 19:59:05.200,62479,-103.8
2018-01-18 19:59:05.360,65834,-103.8
2018-01-18 19:59:05.715,65834,-104.3
2018-01-18 19:59:06.240,65834,-103.9
2018-01-18 19:59:06.755,65834,-102.1
2018-01-18 19:59:07.275,65834,-104.9
2018-01-18 19:59:07.360,56202,-104.9
2018-01-18 19:59:07.845,56202,-102.0
2018-01-18 19:59:08.365,56202,-103.3
2018-01-18 19:59:08.840,56202,-104.5
2018-01-18 19:59:09.355,56202,-104.0
2018-01-18 19:59:09.360,66996,-104.0
2018-01-18 19:59:09.885,66996,-105.3
2018-01-18 19:59:10.395,66996,-104.2
2018-01-18 19:59:10.880,66996,-103.1
2018-01-18 19:59:11.370,70446,-103.1
2018-01-18 19:59:11.405,70446,-102.7
2018-01-18 19:59:11.920,70446,-103.0
2018-01-18 19:59:12.430,70446,-101.7
2018-01-18 19:59:12.890,70446,-104.0
2018-01-18 19:59:13.370,58250,-104.0
2018-01-18 19:59:13.490,58250,-102.2
2018-01-18 19:59:13.980,58250,-104.2
2018-01-18 19:59:14.490,58250,-100.0
2018-01-18 19:59:15.5,58250,-101.4
2018-01-18 19:59:15.370,27300,-101.4
2018-01-18 19:59:15.480,27300,-102.6
2018-01-18 19:59:16.0,27300,-102.0
2018-01-18 19:59:16.475,27300,-101.7
2018-01-18 19:59:17.5,27300,-99.7
2018-01-18 19:59:17.385,35596,-99.7
2018-01-18 19:59:17.520,35596,-101.2
2018-01-18 19:59:18.40,35596,-99.0
2018-01-18 19:59:18.470,35596,-100.8
2018-01-18 19:59:19.30,35596,-100.7
2018-01-18 19:59:19.385,77029,-100.7
2018-01-18 19:59:19.555,77029,-100.4
2018-01-18 19:59:20.80,77029,-100.5
2018-01-18 19:59:20.560,77029,-99.1
2018-01-18 19:59:21.70,77029,-100.4
2018-01-18 19:59:21.390,52935,-100.4
2018-01-18 19:59:21.610,52935,-99.5
2018-01-18 19:59:22.130,52935,-100.9
2018-01-18 19:59:22.610,52935,-99.6
2018-01-18 19:59:23.115,52935,-100.7
2018-01-18 19:59:23.425,76082,-100.7
2018-01-18 19:59:23.645,76082,-100.5
2018-01-18 19:59:24.160,76082,-99.9
2018-01-18 19:59:24.640,76082,-99.6
2018-01-18 19:59:25.160,76082,-99.2
2018-01-18 19:59:25.395,73275,-99.2
2018-01-18 19:59:25.640,73275,-100.5
2018-01-18 19:59:26.155,73275,-99.3
2018-01-18 19:59:26.680,73275,-99.7
2018-01-18 19:59:27.200,73275,-96.7
2018-01-18 19:59:27.395,75981,-96.7
2018-01-18 19:59:27.675,75981,-98.6
2018-01-18 19:59:28.205,75981,-98.4
2018-01-18 19:59:28.675,75981,-99.5
2018-01-18 19:59:29.205,75981,-97.7
2018-01-18 19:59:29.400,69364,-97.7
2018-01-18 19:59:29.720,69364,-96.5
2018-01-18 19:59:30.200,69364,-96.0
2018-01-18 19:59:30.725,69364,-98.2
2018-01-18 19:59:31.235,69364,-99.0
2018-01-18 19:59:31.400,72532,-99.0
2018-01-18 19:59:31.725,72532,-97.7
2018-01-18 19:59:32.245,72532,-92.2
2018-01-18 19:59:32.725,72532,-96.9
2018-01-18 19:59:33.235,72532,-97.0
2018-01-18 19:59:33.485,72308,-97.0
2018-01-18 19:59:33.760,72308,-97.1
2018-01-18 19:59:34.245,72308,-95.5
2018-01-18 19:59:34.730,72308,-96.4
2018-01-18 19:59:35.280,72308,-96.3
2018-01-18 19:59:35.535,21404,-96.3
2018-01-18 19:59:35.760,21404,-96.6
2018-01-18 19:59:36.280,21404,-94.5
