Time,Intermediate KPI
2018-01-18 19:50:31.300,
2018-01-18 19:50:34.405,33555
2018-01-18 19:50:36.405,55094
2018-01-18 19:50:38.405,70929
2018-01-18 19:50:40.405,69432
2018-01-18 19:50:42.405,76801
2018-01-18 19:50:44.410,73341
2018-01-18 19:50:46.410,73956
2018-01-18 19:50:48.415,61410
2018-01-18 19:50:50.425,64345
2018-01-18 19:50:52.425,64873
2018-01-18 19:50:54.425,31997
2018-01-18 19:50:56.430,37925
2018-01-18 19:50:58.430,40610
2018-01-18 19:51:00.430,68976
2018-01-18 19:51:02.430,71144
2018-01-18 19:51:04.435,69478
2018-01-18 19:51:06.435,68250
2018-01-18 19:51:08.435,66691
2018-01-18 19:51:10.440,65692
2018-01-18 19:51:12.440,54976
2018-01-18 19:51:14.440,30750
2018-01-18 19:51:16.440,29981
2018-01-18 19:51:18.445,48464
2018-01-18 19:51:20.445,71755
2018-01-18 19:51:22.445,71371
2018-01-18 19:51:24.445,79878
2018-01-18 19:51:26.445,79943
2018-01-18 19:51:28.445,75814
2018-01-18 19:51:30.450,69626
2018-01-18 19:51:32.450,67865
2018-01-18 19:51:34.455,28274
2018-01-18 19:51:36.455,26829
2018-01-18 19:51:38.465,48776
2018-01-18 19:51:40.455,67157
2018-01-18 19:51:42.460,64309
2018-01-18 19:51:44.460,70646
2018-01-18 19:51:46.460,59845
2018-01-18 19:51:48.460,73341
2018-01-18 19:51:50.460,71235
2018-01-18 19:51:52.465,71488
2018-01-18 19:51:54.465,32042
2018-01-18 19:51:56.465,35404
2018-01-18 19:51:58.465,56380
2018-01-18 19:52:00.495,71467
2018-01-18 19:52:02.495,66341
2018-01-18 19:52:04.495,70370
2018-01-18 19:52:06.500,66535
2018-01-18 19:52:08.500,62501
2018-01-18 19:52:10.500,58744
2018-01-18 19:52:12.530,63481
2018-01-18 19:52:14.515,29611
2018-01-18 19:52:16.515,30961
2018-01-18 19:52:18.565,50617
2018-01-18 19:52:20.550,71056
2018-01-18 19:52:22.550,66091
2018-01-18 19:52:24.550,66213
2018-01-18 19:52:26.550,60700
2018-01-18 19:52:28.550,66385
2018-01-18 19:52:30.555,72625
2018-01-18 19:52:32.555,75582
2018-01-18 19:52:34.555,31037
2018-01-18 19:52:36.555,38986
2018-01-18 19:52:38.560,62423
2018-01-18 19:52:40.560,74149
2018-01-18 19:52:42.560,76946
2018-01-18 19:52:44.560,73513
2018-01-18 19:52:46.560,77234
2018-01-18 19:52:48.560,77184
2018-01-18 19:52:50.565,75341
2018-01-18 19:52:52.565,76487
2018-01-18 19:52:53.895,0
