Time,Intermediate KPI
2018-01-18 21:57:56.305,
2018-01-18 21:57:59.915,4633
2018-01-18 21:58:01.950,4764
2018-01-18 21:58:03.965,4787
2018-01-18 21:58:05.960,4983
2018-01-18 21:58:07.960,4658
2018-01-18 21:58:09.960,7316
2018-01-18 21:58:11.965,18875
2018-01-18 21:58:13.970,17097
2018-01-18 21:58:16.35,18647
2018-01-18 21:58:18.10,19597
2018-01-18 21:58:20.10,18292
2018-01-18 21:58:22.105,19568
2018-01-18 21:58:24.75,15749
2018-01-18 21:58:26.80,17848
2018-01-18 21:58:28.85,14848
2018-01-18 21:58:30.80,19241
2018-01-18 21:58:32.80,14005
2018-01-18 21:58:34.80,17721
2018-01-18 21:58:36.85,22602
2018-01-18 21:58:38.130,25528
2018-01-18 21:58:40.95,22241
2018-01-18 21:58:42.100,13866
2018-01-18 21:58:44.145,12886
2018-01-18 21:58:46.135,15136
2018-01-18 21:58:48.140,3246
2018-01-18 21:58:50.165,5064
2018-01-18 21:58:52.170,1160
2018-01-18 21:58:54.170,7477
2018-01-18 21:58:56.270,3568
2018-01-18 21:58:58.225,7292
2018-01-18 21:59:00.220,7532
2018-01-18 21:59:02.275,22278
2018-01-18 21:59:04.395,18931
2018-01-18 21:59:06.360,12064
2018-01-18 21:59:08.360,23534
2018-01-18 21:59:10.365,15841
2018-01-18 21:59:12.375,18043
2018-01-18 21:59:14.375,5646
2018-01-18 21:59:16.465,13619
2018-01-18 21:59:18.470,34200
2018-01-18 21:59:20.470,25813
2018-01-18 21:59:22.470,15486
2018-01-18 21:59:24.490,27919
2018-01-18 21:59:26.550,33402
2018-01-18 21:59:28.545,27410
2018-01-18 21:59:30.545,21277
2018-01-18 21:59:32.550,28159
2018-01-18 21:59:34.550,27580
2018-01-18 21:59:36.555,25540
2018-01-18 21:59:38.555,26939
2018-01-18 21:59:40.560,20488
2018-01-18 21:59:42.590,19159
2018-01-18 21:59:44.590,10721
2018-01-18 21:59:46.595,11559
2018-01-18 21:59:48.620,24119
2018-01-18 21:59:50.615,32364
2018-01-18 21:59:52.620,39554
2018-01-18 21:59:54.635,35071
2018-01-18 21:59:56.635,30957
2018-01-18 21:59:58.630,23179
2018-01-18 22:00:00.650,37000
2018-01-18 22:00:02.650,29792
2018-01-18 22:00:04.655,31403
2018-01-18 22:00:06.665,35513
2018-01-18 22:00:08.660,31576
2018-01-18 22:00:10.665,39748
2018-01-18 22:00:12.660,19834
2018-01-18 22:00:14.720,28270
2018-01-18 22:00:16.725,39477
2018-01-18 22:00:18.730,43113
2018-01-18 22:00:20.725,51290
2018-01-18 22:00:22.730,36747
2018-01-18 22:00:24.730,21947
2018-01-18 22:00:26.810,34951
2018-01-18 22:00:28.800,27045
2018-01-18 22:00:31.555,32897
2018-01-18 22:00:33.265,26929
2018-01-18 22:00:35.175,43346
2018-01-18 22:00:37.470,31657
2018-01-18 22:00:39.555,36939
2018-01-18 22:00:41.380,44316
2018-01-18 22:00:43.600,30815
2018-01-18 22:00:45.455,34016
2018-01-18 22:00:47.620,43870
2018-01-18 22:00:49.525,49974
2018-01-18 22:00:51.695,40796
2018-01-18 22:00:53.855,40399
2018-01-18 22:00:55.965,48617
2018-01-18 22:00:57.875,41793
2018-01-18 22:01:00.215,64986
2018-01-18 22:01:02.40,50649
2018-01-18 22:01:04.430,48651
2018-01-18 22:01:06.270,56613
2018-01-18 22:01:08.425,53461
2018-01-18 22:01:10.490,56161
2018-01-18 22:01:12.560,58262
2018-01-18 22:01:14.750,54059
2018-01-18 22:01:16.710,44804
2018-01-18 22:01:18.710,63913
2018-01-18 22:01:20.710,82145
2018-01-18 22:01:22.710,67507
2018-01-18 22:01:24.715,64672
2018-01-18 22:01:26.715,32663
2018-01-18 22:01:28.715,28769
2018-01-18 22:01:30.715,56158
2018-01-18 22:01:32.720,75203
2018-01-18 22:01:34.720,76146
2018-01-18 22:01:36.720,94487
2018-01-18 22:01:38.725,83247
2018-01-18 22:01:40.725,69245
2018-01-18 22:01:42.730,75556
2018-01-18 22:01:44.730,93132
2018-01-18 22:01:46.735,79459
2018-01-18 22:01:48.735,91977
2018-01-18 22:01:50.740,89857
2018-01-18 22:01:52.740,100768
2018-01-18 22:01:54.740,79348
2018-01-18 22:01:56.745,90897
2018-01-18 22:01:58.745,86425
2018-01-18 22:02:00.670,0
