Time,Intermediate KPI
2018-01-18 21:24:10.860,
2018-01-18 21:24:14.100,5129
2018-01-18 21:24:16.100,5220
2018-01-18 21:24:18.110,5377
2018-01-18 21:24:20.275,6424
2018-01-18 21:24:22.255,18639
2018-01-18 21:24:24.260,13006
2018-01-18 21:24:26.260,12495
2018-01-18 21:24:28.260,9129
2018-01-18 21:24:30.265,10943
2018-01-18 21:24:32.265,11370
2018-01-18 21:24:34.265,16362
2018-01-18 21:24:36.270,24464
2018-01-18 21:24:38.270,25632
2018-01-18 21:24:40.270,8002
2018-01-18 21:24:42.275,22846
2018-01-18 21:24:44.275,22252
2018-01-18 21:24:46.275,24515
2018-01-18 21:24:48.275,16817
2018-01-18 21:24:50.280,16071
2018-01-18 21:24:52.280,24217
2018-01-18 21:24:54.285,55093
2018-01-18 21:24:56.285,40750
2018-01-18 21:24:58.285,21997
2018-01-18 21:25:00.290,33063
2018-01-18 21:25:02.330,23217
2018-01-18 21:25:04.330,26111
2018-01-18 21:25:06.330,43651
2018-01-18 21:25:08.335,32430
2018-01-18 21:25:10.335,15434
2018-01-18 21:25:12.335,46433
2018-01-18 21:25:14.335,29770
2018-01-18 21:25:16.350,26942
2018-01-18 21:25:18.350,19041
2018-01-18 21:25:20.350,7186
2018-01-18 21:25:22.355,7484
2018-01-18 21:25:24.355,13535
2018-01-18 21:25:26.355,54188
2018-01-18 21:25:28.355,56485
2018-01-18 21:25:30.360,29226
2018-01-18 21:25:32.385,30727
2018-01-18 21:25:34.390,47664
2018-01-18 21:25:36.390,41969
2018-01-18 21:25:38.390,64422
2018-01-18 21:25:40.395,34832
2018-01-18 21:25:42.395,46747
2018-01-18 21:25:44.400,87556
2018-01-18 21:25:46.400,58286
2018-01-18 21:25:48.400,74845
2018-01-18 21:25:50.405,32469
2018-01-18 21:25:52.415,17713
2018-01-18 21:25:54.420,71658
2018-01-18 21:25:56.420,69815
2018-01-18 21:25:58.420,28479
2018-01-18 21:26:00.420,62808
2018-01-18 21:26:02.450,73220
2018-01-18 21:26:04.450,37333
2018-01-18 21:26:06.450,14744
2018-01-18 21:26:08.455,10566
2018-01-18 21:26:10.455,4889
2018-01-18 21:26:12.460,10417
2018-01-18 21:26:14.460,6134
2018-01-18 21:26:16.465,10316
2018-01-18 21:26:18.485,9435
2018-01-18 21:26:20.475,60828
2018-01-18 21:26:22.475,28675
2018-01-18 21:26:24.475,42008
2018-01-18 21:26:26.480,47654
2018-01-18 21:26:28.480,20844
2018-01-18 21:26:30.485,6335
2018-01-18 21:26:32.530,8893
2018-01-18 21:26:34.535,15061
2018-01-18 21:26:36.545,4061
2018-01-18 21:26:38.540,8158
2018-01-18 21:26:40.545,14003
2018-01-18 21:26:42.575,5392
2018-01-18 21:26:44.565,20693
2018-01-18 21:26:46.565,19401
2018-01-18 21:26:48.600,5993
2018-01-18 21:26:50.595,2779
2018-01-18 21:26:52.600,1646
2018-01-18 21:26:54.600,2571
2018-01-18 21:26:56.605,4919
2018-01-18 21:26:58.605,4970
2018-01-18 21:27:00.615,12529
2018-01-18 21:27:02.640,19884
2018-01-18 21:27:04.610,29039
2018-01-18 21:27:06.615,17896
2018-01-18 21:27:08.625,21888
2018-01-18 21:27:10.640,17460
2018-01-18 21:27:12.660,13906
2018-01-18 21:27:14.705,5612
2018-01-18 21:27:16.700,8759
2018-01-18 21:27:18.700,16093
2018-01-18 21:27:20.765,7634
2018-01-18 21:27:22.760,11126
2018-01-18 21:27:24.815,4844
2018-01-18 21:27:26.835,974
2018-01-18 21:27:28.835,12429
2018-01-18 21:27:30.840,33074
2018-01-18 21:27:32.850,45588
2018-01-18 21:27:34.895,40423
2018-01-18 21:27:36.895,46313
2018-01-18 21:27:38.895,32968
2018-01-18 21:27:40.900,23611
2018-01-18 21:27:42.995,28745
2018-01-18 21:27:44.980,42728
2018-01-18 21:27:46.990,25350
2018-01-18 21:27:49.0,17255
2018-01-18 21:27:50.940,21125
2018-01-18 21:27:52.940,15608
2018-01-18 21:27:54.940,9833
2018-01-18 21:27:57.45,12835
2018-01-18 21:27:58.995,12726
2018-01-18 21:28:00.995,10011
2018-01-18 21:28:03.20,3801
2018-01-18 21:28:05.10,21071
2018-01-18 21:28:07.10,22502
2018-01-18 21:28:09.10,30292
2018-01-18 21:28:11.15,26401
2018-01-18 21:28:13.15,4038
2018-01-18 21:28:15.15,14622
2018-01-18 21:28:17.20,16220
2018-01-18 21:28:19.20,40933
2018-01-18 21:28:21.25,34061
2018-01-18 21:28:23.25,7467
2018-01-18 21:28:25.40,20796
2018-01-18 21:28:27.40,25438
2018-01-18 21:28:29.45,17119
2018-01-18 21:28:31.45,11997
2018-01-18 21:28:33.60,15269
2018-01-18 21:28:35.60,33055
2018-01-18 21:28:37.60,39751
2018-01-18 21:28:39.70,28153
2018-01-18 21:28:41.70,24996
2018-01-18 21:28:43.70,45481
2018-01-18 21:28:45.70,51149
2018-01-18 21:28:47.75,53655
2018-01-18 21:28:49.75,64966
2018-01-18 21:28:51.90,66884
2018-01-18 21:28:53.85,68956
2018-01-18 21:28:55.85,58493
2018-01-18 21:28:57.90,74406
2018-01-18 21:28:59.90,87789
2018-01-18 21:29:01.90,81463
2018-01-18 21:29:03.95,88206
2018-01-18 21:29:05.95,63221
2018-01-18 21:29:07.95,62886
2018-01-18 21:29:09.105,66956
2018-01-18 21:29:11.110,42813
2018-01-18 21:29:13.110,52020
2018-01-18 21:29:15.125,42913
2018-01-18 21:29:15.285,0
