Time,Intermediate KPI,RSRP
2018-01-18 20:01:09.890,,
2018-01-18 20:01:09.900,,-107.5
2018-01-18 20:01:10.85,,-104.0
2018-01-18 20:01:11.235,,-106.1
2018-01-18 20:01:11.725,,-105.4
2018-01-18 20:01:12.260,,-103.4
2018-01-18 20:01:12.720,,-103.3
2018-01-18 20:01:13.290,,-105.3
2018-01-18 20:01:13.295,38106,-105.3
2018-01-18 20:01:13.765,38106,-101.3
2018-01-18 20:01:14.290,38106,-102.8
2018-01-18 20:01:14.805,38106,-103.3
2018-01-18 20:01:15.260,40594,-103.3
2018-01-18 20:01:15.325,40594,-103.6
2018-01-18 20:01:15.845,40594,-103.5
2018-01-18 20:01:16.335,40594,-103.0
2018-01-18 20:01:16.850,40594,-103.4
2018-01-18 20:01:17.260,57845,-103.4
2018-01-18 20:01:17.325,57845,-104.4
2018-01-18 20:01:17.860,57845,-104.0
2018-01-18 20:01:18.335,57845,-104.1
2018-01-18 20:01:18.900,57845,-103.1
2018-01-18 20:01:19.275,52096,-103.1
2018-01-18 20:01:19.370,52096,-103.6
2018-01-18 20:01:19.890,52096,-104.5
2018-01-18 20:01:20.400,52096,-106.2
2018-01-18 20:01:20.930,52096,-103.8
2018-01-18 20:01:21.275,60179,-103.8
2018-01-18 20:01:21.405,60179,-104.2
2018-01-18 20:01:21.935,60179,-102.9
2018-01-18 20:01:22.450,60179,-103.4
2018-01-18 20:01:22.940,60179,-104.3
2018-01-18 20:01:23.280,63718,-104.3
2018-01-18 20:01:23.445,63718,-103.5
2018-01-18 20:01:23.975,63718,-101.9
2018-01-18 20:01:24.445,63718,-100.7
2018-01-18 20:01:25.10,63718,-104.5
2018-01-18 20:01:25.280,56524,-104.5
2018-01-18 20:01:25.490,56524,-102.5
2018-01-18 20:01:26.20,56524,-99.8
2018-01-18 20:01:26.485,56524,-99.7
2018-01-18 20:01:27.15,56524,-100.7
2018-01-18 20:01:27.280,50026,-100.7
2018-01-18 20:01:27.530,50026,-99.6
2018-01-18 20:01:28.15,50026,-99.8
2018-01-18 20:01:28.540,50026,-102.3
2018-01-18 20:01:29.15,50026,-100.2
2018-01-18 20:01:29.285,43468,-100.2
2018-01-18 20:01:29.535,43468,-100.0
2018-01-18 20:01:30.60,43468,-98.8
2018-01-18 20:01:30.525,43468,-100.3
2018-01-18 20:01:31.45,43468,-99.4
2018-01-18 20:01:31.290,76502,-99.4
2018-01-18 20:01:31.570,76502,-100.7
2018-01-18 20:01:32.55,76502,-99.5
2018-01-18 20:01:32.575,76502,-100.9
2018-01-18 20:01:33.95,76502,-99.8
2018-01-18 20:01:33.285,66025,-99.8
2018-01-18 20:01:33.580,66025,-99.0
2018-01-18 20:01:34.580,66025,-98.9
2018-01-18 20:01:35.120,66025,-100.9
2018-01-18 20:01:35.290,23085,-100.9
2018-01-18 20:01:35.605,23085,-99.1
2018-01-18 20:01:36.130,23085,-99.2
2018-01-18 20:01:36.615,23085,-100.2
2018-01-18 20:01:37.125,23085,-95.8
2018-01-18 20:01:37.295,33012,-95.8
2018-01-18 20:01:37.650,33012,-100.5
2018-01-18 20:01:38.130,33012,-97.4
2018-01-18 20:01:38.655,33012,-98.1
2018-01-18 20:01:39.140,33012,-98.3
2018-01-18 20:01:39.320,51475,-98.3
2018-01-18 20:01:39.660,51475,-96.1
2018-01-18 20:01:40.175,51475,-99.1
2018-01-18 20:01:40.685,51475,-97.6
2018-01-18 20:01:41.165,51475,-98.4
2018-01-18 20:01:41.315,70547,-98.4
2018-01-18 20:01:41.690,70547,-97.2
2018-01-18 20:01:42.195,70547,-91.1
2018-01-18 20:01:42.740,70547,-96.8
2018-01-18 20:01:43.210,70547,-98.8
2018-01-18 20:01:43.320,73752,-98.8
2018-01-18 20:01:43.735,73752,-96.8
2018-01-18 20:01:44.195,73752,-97.0
2018-01-18 20:01:44.780,73752,-95.5
2018-01-18 20:01:45.295,73752,-94.9
2018-01-18 20:01:45.345,76718,-94.9
2018-01-18 20:01:45.805,76718,-96.6
2018-01-18 20:01:46.290,76718,-93.6
2018-01-18 20:01:46.845,76718,-95.7
2018-01-18 20:01:47.345,73372,-95.7
2018-01-18 20:01:47.380,73372,-95.0
2018-01-18 20:01:47.855,73372,-96.2
2018-01-18 20:01:48.370,73372,-97.8
2018-01-18 20:01:48.840,73372,-98.9
2018-01-18 20:01:49.345,64985,-98.9
2018-01-18 20:01:49.380,64985,-100.5
2018-01-18 20:01:49.885,64985,-100.9
2018-01-18 20:01:50.405,64985,-97.7
2018-01-18 20:01:50.925,64985,-100.7
2018-01-18 20:01:51.345,72830,-100.7
2018-01-18 20:01:51.445,72830,-98.7
2018-01-18 20:01:51.940,72830,-99.2
2018-01-18 20:01:52.450,72830,-96.5
2018-01-18 20:01:52.980,72830,-99.9
2018-01-18 20:01:53.350,72295,-99.9
2018-01-18 20:01:53.445,72295,-98.3
2018-01-18 20:01:53.975,72295,-101.6
2018-01-18 20:01:54.490,72295,-107.6
2018-01-18 20:01:54.970,72295,-102.5
2018-01-18 20:01:55.355,30074,-102.5
2018-01-18 20:01:55.485,30074,-105.4
2018-01-18 20:01:56.15,30074,-104.9
2018-01-18 20:01:56.530,30074,-105.3
2018-01-18 20:01:57.355,27208,-105.3
2018-01-18 20:01:57.525,27208,-107.0
2018-01-18 20:01:58.50,27208,-106.0
2018-01-18 20:01:58.495,27208,-105.6
2018-01-18 20:01:59.50,27208,-107.1
2018-01-18 20:01:59.375,50502,-107.1
2018-01-18 20:01:59.570,50502,-106.9
2018-01-18 20:02:00.100,50502,-108.1
2018-01-18 20:02:00.570,50502,-106.9
2018-01-18 20:02:01.90,50502,-107.8
2018-01-18 20:02:01.375,54821,-107.8
2018-01-18 20:02:01.605,54821,-108.2
2018-01-18 20:02:02.130,54821,-109.1
2018-01-18 20:02:02.610,54821,-109.5
2018-01-18 20:02:03.140,54821,-109.2
2018-01-18 20:02:03.375,59599,-109.2
2018-01-18 20:02:03.695,59599,-108.9
2018-01-18 20:02:04.210,59599,-108.7
2018-01-18 20:02:04.735,59599,-110.0
