Time,Intermediate KPI,RSRP
2018-01-18 21:46:21.880,,
2018-01-18 21:46:21.895,,-95.1
2018-01-18 21:46:23.185,,-95.3
2018-01-18 21:46:23.665,,-94.4
2018-01-18 21:46:24.745,,-95.0
2018-01-18 21:46:25.260,,-95.1
2018-01-18 21:46:25.470,36335,-95.1
2018-01-18 21:46:25.745,36335,-95.2
2018-01-18 21:46:26.250,36335,-95.6
2018-01-18 21:46:26.780,36335,-102.7
2018-01-18 21:46:27.295,36335,-105.7
2018-01-18 21:46:27.470,42808,-105.7
2018-01-18 21:46:27.810,42808,-105.3
2018-01-18 21:46:28.340,42808,-104.9
2018-01-18 21:46:28.820,42808,-104.7
2018-01-18 21:46:29.375,42808,-103.1
2018-01-18 21:46:29.470,46103,-103.1
2018-01-18 21:46:29.875,46103,-101.5
2018-01-18 21:46:30.380,46103,-102.0
2018-01-18 21:46:31.380,46103,-93.9
2018-01-18 21:46:31.475,45997,-93.9
2018-01-18 21:46:31.900,45997,-93.3
2018-01-18 21:46:32.420,45997,-95.5
2018-01-18 21:46:32.935,45997,-95.7
2018-01-18 21:46:33.460,45997,-96.2
2018-01-18 21:46:33.475,44549,-96.2
2018-01-18 21:46:33.970,44549,-93.1
2018-01-18 21:46:34.455,44549,-93.8
2018-01-18 21:46:34.980,44549,-96.3
2018-01-18 21:46:35.460,44549,-93.4
2018-01-18 21:46:35.475,41048,-93.4
2018-01-18 21:46:36.40,41048,-96.6
2018-01-18 21:46:36.535,41048,-96.2
2018-01-18 21:46:37.45,41048,-96.4
2018-01-18 21:46:37.490,19984,-96.4
2018-01-18 21:46:37.570,19984,-92.8
2018-01-18 21:46:38.35,19984,-87.3
2018-01-18 21:46:38.600,19984,-87.8
2018-01-18 21:46:39.120,19984,-95.1
2018-01-18 21:46:39.480,49743,-95.1
2018-01-18 21:46:39.595,49743,-95.0
2018-01-18 21:46:40.165,49743,-92.3
2018-01-18 21:46:40.685,49743,-92.4
2018-01-18 21:46:41.200,49743,-92.9
2018-01-18 21:46:41.480,47934,-92.9
2018-01-18 21:46:41.680,47934,-93.5
2018-01-18 21:46:42.210,47934,-94.8
2018-01-18 21:46:42.715,47934,-94.1
2018-01-18 21:46:43.200,47934,-94.0
2018-01-18 21:46:43.495,55922,-94.0
2018-01-18 21:46:43.725,55922,-94.2
2018-01-18 21:46:44.200,55922,-97.9
2018-01-18 21:46:44.675,55922,-97.2
2018-01-18 21:46:45.315,55922,-96.9
2018-01-18 21:46:45.500,50317,-96.9
2018-01-18 21:46:45.840,50317,-95.7
2018-01-18 21:46:46.315,50317,-95.9
2018-01-18 21:46:46.875,50317,-96.9
2018-01-18 21:46:47.355,50317,-94.3
2018-01-18 21:46:47.500,46051,-94.3
2018-01-18 21:46:47.910,46051,-96.9
2018-01-18 21:46:48.405,46051,-96.1
2018-01-18 21:46:48.910,46051,-93.2
2018-01-18 21:46:49.440,46051,-95.6
2018-01-18 21:46:49.500,52927,-95.6
2018-01-18 21:46:49.955,52927,-92.5
2018-01-18 21:46:50.440,52927,-94.6
2018-01-18 21:46:50.955,52927,-95.2
2018-01-18 21:46:51.475,52927,-93.1
2018-01-18 21:46:51.510,47265,-93.1
2018-01-18 21:46:51.955,47265,-92.4
2018-01-18 21:46:52.510,47265,-91.5
2018-01-18 21:46:53.0,47265,-89.7
2018-01-18 21:46:53.410,47265,-89.2
2018-01-18 21:46:53.635,55416,-89.2
2018-01-18 21:46:54.75,55416,-90.0
2018-01-18 21:46:54.595,55416,-88.4
2018-01-18 21:46:55.110,55416,-90.3
2018-01-18 21:46:55.565,66109,-90.3
2018-01-18 21:46:55.600,66109,-89.9
2018-01-18 21:46:56.140,66109,-91.8
2018-01-18 21:46:56.635,66109,-92.1
2018-01-18 21:46:57.150,66109,-93.6
2018-01-18 21:46:57.565,42169,-93.6
2018-01-18 21:46:57.680,42169,-94.2
2018-01-18 21:46:58.195,42169,-92.0
2018-01-18 21:46:58.690,42169,-91.6
2018-01-18 21:46:59.205,42169,-91.9
2018-01-18 21:46:59.595,39009,-91.9
2018-01-18 21:46:59.715,39009,-92.5
2018-01-18 21:47:00.770,39009,-92.4
2018-01-18 21:47:01.245,39009,-92.3
2018-01-18 21:47:01.595,27827,-92.3
2018-01-18 21:47:01.805,27827,-92.9
2018-01-18 21:47:02.320,27827,-92.7
2018-01-18 21:47:02.800,27827,-92.4
2018-01-18 21:47:03.320,27827,-92.3
2018-01-18 21:47:03.600,28004,-92.3
2018-01-18 21:47:03.835,28004,-92.1
2018-01-18 21:47:04.360,28004,-89.6
2018-01-18 21:47:04.880,28004,-91.7
2018-01-18 21:47:05.395,28004,-93.7
2018-01-18 21:47:05.615,33972,-93.7
2018-01-18 21:47:05.880,33972,-93.3
2018-01-18 21:47:06.400,33972,-93.2
2018-01-18 21:47:06.925,33972,-95.1
2018-01-18 21:47:07.435,33972,-95.3
2018-01-18 21:47:07.605,27117,-95.3
2018-01-18 21:47:07.925,27117,-95.4
2018-01-18 21:47:08.960,27117,-95.3
2018-01-18 21:47:09.470,27117,-95.0
2018-01-18 21:47:09.605,40898,-95.0
2018-01-18 21:47:10.5,40898,-93.5
2018-01-18 21:47:10.515,40898,-92.7
2018-01-18 21:47:11.0,40898,-92.3
2018-01-18 21:47:11.510,40898,-92.1
2018-01-18 21:47:11.605,58297,-92.1
2018-01-18 21:47:11.890,58297,-92.2
