Time,Intermediate KPI,RSRP
2018-01-18 21:24:10.860,,
2018-01-18 21:24:11.175,,-79.3
2018-01-18 21:24:12.125,,-80.6
2018-01-18 21:24:12.605,,-78.8
2018-01-18 21:24:13.120,,-79.7
2018-01-18 21:24:13.645,,-79.5
2018-01-18 21:24:14.100,5129,-79.5
2018-01-18 21:24:14.155,5129,-79.6
2018-01-18 21:24:14.645,5129,-79.7
2018-01-18 21:24:15.160,5129,-81.2
2018-01-18 21:24:15.650,5129,-83.7
2018-01-18 21:24:16.100,5220,-83.7
2018-01-18 21:24:16.165,5220,-83.0
2018-01-18 21:24:16.705,5220,-83.9
2018-01-18 21:24:17.190,5220,-83.3
2018-01-18 21:24:17.695,5220,-85.7
2018-01-18 21:24:18.110,5377,-85.7
2018-01-18 21:24:18.195,5377,-85.8
2018-01-18 21:24:18.730,5377,-86.1
2018-01-18 21:24:19.235,5377,-86.6
2018-01-18 21:24:19.735,5377,-88.7
2018-01-18 21:24:20.95,5377,-88.4
2018-01-18 21:24:20.275,6424,-88.4
2018-01-18 21:24:20.725,6424,-88.1
2018-01-18 21:24:21.240,6424,-90.9
2018-01-18 21:24:21.765,6424,-92.3
2018-01-18 21:24:22.240,6424,-93.1
2018-01-18 21:24:22.255,18639,-93.1
2018-01-18 21:24:22.770,18639,-92.2
2018-01-18 21:24:23.280,18639,-92.3
2018-01-18 21:24:23.760,18639,-96.5
2018-01-18 21:24:24.260,13006,-96.5
2018-01-18 21:24:24.265,13006,-95.1
2018-01-18 21:24:24.735,13006,-93.7
2018-01-18 21:24:25.245,13006,-90.5
2018-01-18 21:24:25.820,13006,-89.8
2018-01-18 21:24:26.260,12495,-89.8
2018-01-18 21:24:26.335,12495,-87.6
2018-01-18 21:24:26.820,12495,-89.4
2018-01-18 21:24:27.340,12495,-90.7
2018-01-18 21:24:27.790,12495,-87.8
2018-01-18 21:24:28.260,9129,-87.8
2018-01-18 21:24:28.360,9129,-88.9
2018-01-18 21:24:28.870,9129,-92.4
2018-01-18 21:24:29.260,9129,-89.5
2018-01-18 21:24:29.785,9129,-82.4
2018-01-18 21:24:30.265,10943,-82.4
2018-01-18 21:24:30.295,10943,-85.4
2018-01-18 21:24:30.765,10943,-92.2
2018-01-18 21:24:31.330,10943,-92.5
2018-01-18 21:24:31.735,10943,-87.5
2018-01-18 21:24:32.265,11370,-87.5
2018-01-18 21:24:32.375,11370,-90.2
2018-01-18 21:24:32.810,11370,-87.2
2018-01-18 21:24:33.320,11370,-87.5
2018-01-18 21:24:33.830,11370,-89.1
2018-01-18 21:24:34.265,16362,-89.1
2018-01-18 21:24:34.320,16362,-88.4
2018-01-18 21:24:34.870,16362,-89.0
2018-01-18 21:24:35.360,16362,-88.2
2018-01-18 21:24:35.920,16362,-87.5
2018-01-18 21:24:36.270,24464,-87.5
2018-01-18 21:24:36.440,24464,-87.8
2018-01-18 21:24:36.910,24464,-88.4
2018-01-18 21:24:37.440,24464,-89.3
2018-01-18 21:24:37.995,24464,-90.0
2018-01-18 21:24:38.270,25632,-90.0
2018-01-18 21:24:38.475,25632,-90.4
2018-01-18 21:24:38.995,25632,-91.5
2018-01-18 21:24:39.480,25632,-93.9
2018-01-18 21:24:39.995,25632,-92.0
2018-01-18 21:24:40.270,8002,-92.0
2018-01-18 21:24:40.510,8002,-93.7
2018-01-18 21:24:40.655,8002,-89.0
2018-01-18 21:24:41.140,8002,-90.6
2018-01-18 21:24:41.640,8002,-93.9
2018-01-18 21:24:42.270,8002,-96.8
2018-01-18 21:24:42.275,22846,-96.8
2018-01-18 21:24:42.750,22846,-97.2
2018-01-18 21:24:43.300,22846,-92.2
2018-01-18 21:24:43.815,22846,-89.9
2018-01-18 21:24:44.275,22252,-89.9
2018-01-18 21:24:44.335,22252,-84.6
2018-01-18 21:24:44.855,22252,-81.5
2018-01-18 21:24:45.340,22252,-80.7
2018-01-18 21:24:45.855,22252,-79.1
2018-01-18 21:24:46.275,24515,-79.1
2018-01-18 21:24:46.375,24515,-80.5
2018-01-18 21:24:46.865,24515,-86.2
2018-01-18 21:24:47.385,24515,-87.8
2018-01-18 21:24:47.890,24515,-87.5
2018-01-18 21:24:48.275,16817,-87.5
2018-01-18 21:24:48.415,16817,-87.8
2018-01-18 21:24:48.895,16817,-85.7
2018-01-18 21:24:49.420,16817,-85.3
2018-01-18 21:24:49.890,16817,-86.8
2018-01-18 21:24:50.280,16071,-86.8
2018-01-18 21:24:50.420,16071,-87.1
2018-01-18 21:24:50.950,16071,-87.5
2018-01-18 21:24:51.455,16071,-86.5
2018-01-18 21:24:51.980,16071,-84.6
2018-01-18 21:24:52.280,24217,-84.6
2018-01-18 21:24:52.460,24217,-85.1
2018-01-18 21:24:52.980,24217,-84.4
2018-01-18 21:24:53.495,24217,-84.0
2018-01-18 21:24:54.15,24217,-84.3
2018-01-18 21:24:54.285,55093,-84.3
2018-01-18 21:24:54.535,55093,-84.7
2018-01-18 21:24:55.20,55093,-85.7
2018-01-18 21:24:55.535,55093,-86.4
2018-01-18 21:24:56.10,55093,-86.8
2018-01-18 21:24:56.285,40750,-86.8
2018-01-18 21:24:57.45,40750,-86.2
2018-01-18 21:24:57.565,40750,-85.3
2018-01-18 21:24:58.95,40750,-84.9
2018-01-18 21:24:58.285,21997,-84.9
2018-01-18 21:24:58.615,21997,-85.7
2018-01-18 21:24:59.125,21997,-85.0
2018-01-18 21:24:59.605,21997,-83.6
2018-01-18 21:25:00.130,21997,-82.1
2018-01-18 21:25:00.290,33063,-82.1
2018-01-18 21:25:00.645,33063,-82.0
2018-01-18 21:25:01.135,33063,-82.2
