Time,RSRP,RSRQ,RSSI,SINR Rx[0],SINR Rx[1],RSRP Rx[0],RSRQ Rx[0],RSSI Rx[0],RSRP Rx[1],RSRQ Rx[1],RSSI Rx[1],Bandwidth,Num of Subframes,Avg RB count,Average TB Size,Num of TBs,Tx Antennas,Num Pass 1st Attempt,Num of Recombined,Average MCS Index,Num QPSK (LTE DL),Num 16QAM (LTE DL),Num 64QAM (LTE DL),Number of carriers DL,Num 256QAM (LTE DL),Num ACKs,Num NACKs,QPSK Rate,16-QAM Rate,64-QAM Rate,256-QAM Rate,Reporting Mode,CQI0/CQI1,BLER,Bytes Transferred,Sched Thrpt,PDSCH Thrpt,Test KPI type,Test KPI avg,Test KPI worst,Test KPI best,Test KPI last,Intermediate KPI,IP Thrpt DL,Num of New TBs
2018-01-18 21:39:34.845,-82.2,-8.0,-54.3,23.8,16.6,-82.2,-8.0,-54.3,-89.2,-6.6,-62.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-18 21:39:35.25,-82.2,-8.0,-54.3,23.8,16.6,-82.2,-8.0,-54.3,-89.2,-6.6,-62.6,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
2018-01-18 21:39:35.25,-82.2,-8.0,-54.3,23.8,16.6,-82.2,-8.0,-54.3,-89.2,-6.6,-62.6,,1,3,7.0,1,,0,0,2.0,1.0,0.0,0.0,1,0.0,,,100.0,0.0,0.0,0.0,,,0.0,7,55,55,,,,,,,,0
2018-01-18 21:39:36.125,-82.6,-7.3,-55.4,22.0,25.5,-82.6,-7.3,-55.4,-87.0,-6.3,-60.7,,1,3,7.0,1,,0,0,2.0,1.0,0.0,0.0,1,0.0,,,100.0,0.0,0.0,0.0,,,0.0,7,55,55,,,,,,,,0
2018-01-18 21:39:36.240,-82.6,-7.3,-55.4,22.0,25.5,-82.6,-7.3,-55.4,-87.0,-6.3,-60.7,,1,5,15.0,1,,0,0,2.0,1.0,0.0,0.0,1,0.0,,,100.0,0.0,0.0,0.0,,,0.0,15,0,0,,,,,,,,0
2018-01-18 21:39:36.255,-82.6,-7.3,-55.4,22.0,25.5,-82.6,-7.3,-55.4,-87.0,-6.3,-60.7,,1,5,15.0,1,,0,0,2.0,1.0,0.0,0.0,1,0.0,2,0,100.0,0.0,0.0,0.0,,,0.0,15,0,0,,,,,,,,0
2018-01-18 21:39:36.270,-82.6,-7.3,-55.4,22.0,25.5,-82.6,-7.3,-55.4,-87.0,-6.3,-60.7,,1,5,15.0,1,,0,0,2.0,1.0,0.0,0.0,1,0.0,2,0,100.0,0.0,0.0,0.0,0,10.0 / 0.0,0.0,15,0,0,,,,,,,,0
2018-01-18 21:39:36.615,-81.6,-10.9,-49.1,18.2,17.3,-81.6,-10.9,-49.1,-88.8,-10.8,-57.5,,1,5,15.0,1,,0,0,2.0,1.0,0.0,0.0,1,0.0,2,0,100.0,0.0,0.0,0.0,0,10.0 / 0.0,0.0,15,0,0,,,,,,,,0
2018-01-18 21:39:36.740,-81.6,-10.9,-49.1,18.2,17.3,-81.6,-10.9,-49.1,-88.8,-10.8,-57.5,,1,5,15.0,1,,0,0,2.0,1.0,0.0,0.0,1,0.0,2,0,100.0,0.0,0.0,0.0,3,11.2 / 0.0,0.0,15,0,0,,,,,,,,0
2018-01-18 21:39:36.775,-81.6,-10.9,-49.1,18.2,17.3,-81.6,-10.9,-49.1,-88.8,-10.8,-57.5,,1,5,15.0,1,,0,0,2.0,1.0,0.0,0.0,1,0.0,136,1,100.0,0.0,0.0,0.0,3,11.2 / 0.0,0.0,15,0,0,,,,,,,,0
2018-01-18 21:39:36.790,-81.6,-10.9,-49.1,18.2,17.3,-81.6,-10.9,-49.1,-88.8,-10.8,-57.5,,65,40,1956.6,121,,94,13,16.8,16.0,2.0,103.0,1,103.0,136,1,13.2,1.7,85.1,0.0,3,11.2 / 0.0,10.7,236743,3083,2966,,,,,,,,104
2018-01-18 21:39:36.885,-81.6,-10.9,-49.1,18.2,17.3,-81.6,-10.9,-49.1,-88.8,-10.8,-57.5,,65,40,1956.6,121,,94,13,16.8,16.0,2.0,103.0,1,103.0,136,1,13.2,1.7,85.1,0.0,3,11.2 / 0.0,10.7,236743,3083,2966,,,,,,,2672,104
2018-01-18 21:39:37.150,-82.1,-10.3,-50.0,18.0,18.1,-82.1,-10.3,-50.0,-88.5,-9.8,-57.9,,65,40,1956.6,121,,94,13,16.8,16.0,2.0,103.0,1,103.0,136,1,13.2,1.7,85.1,0.0,3,11.2 / 0.0,10.7,236743,3083,2966,,,,,,,2672,104
2018-01-18 21:39:37.240,-82.1,-10.3,-50.0,18.0,18.1,-82.1,-10.3,-50.0,-88.5,-9.8,-57.9,,65,40,1956.6,121,,94,13,16.8,16.0,2.0,103.0,1,103.0,136,1,13.2,1.7,85.1,0.0,3,11.1 / 0.0,10.7,236743,3083,2966,,,,,,,2672,104
2018-01-18 21:39:37.310,-82.1,-10.3,-50.0,18.0,18.1,-82.1,-10.3,-50.0,-88.5,-9.8,-57.9,,65,40,1956.6,121,,94,13,16.8,16.0,2.0,103.0,1,103.0,126,3,13.2,1.7,85.1,0.0,3,11.1 / 0.0,10.7,236743,3083,2966,,,,,,,2672,104
2018-01-18 21:39:37.325,-82.1,-10.3,-50.0,18.0,18.1,-82.1,-10.3,-50.0,-88.5,-9.8,-57.9,,65,52,2297.4,129,,103,13,18.2,2.0,18.0,109.0,1,109.0,126,3,1.6,14.0,84.5,0.0,3,11.1 / 0.0,10.1,296364,5464,5379,,,,,,,2672,116
2018-01-18 21:39:37.650,-82.1,-7.8,-52.5,19.4,19.2,-82.1,-7.8,-52.5,-88.5,-8.0,-59.5,,65,52,2297.4,129,,103,13,18.2,2.0,18.0,109.0,1,109.0,126,3,1.6,14.0,84.5,0.0,3,11.1 / 0.0,10.1,296364,5464,5379,,,,,,,2672,116
2018-01-18 21:39:37.740,-82.1,-7.8,-52.5,19.4,19.2,-82.1,-7.8,-52.5,-88.5,-8.0,-59.5,,65,52,2297.4,129,,103,13,18.2,2.0,18.0,109.0,1,109.0,126,3,1.6,14.0,84.5,0.0,3,11.2 / 0.0,10.1,296364,5464,5379,,,,,,,2672,116
2018-01-18 21:39:37.795,-82.1,-7.8,-52.5,19.4,19.2,-82.1,-7.8,-52.5,-88.5,-8.0,-59.5,,65,52,2297.4,129,,103,13,18.2,2.0,18.0,109.0,1,109.0,126,3,1.6,14.0,84.5,0.0,3,11.2 / 0.0,10.1,296364,5464,5379,,,,,,,5081,116
2018-01-18 21:39:37.835,-82.1,-7.8,-52.5,19.4,19.2,-82.1,-7.8,-52.5,-88.5,-8.0,-59.5,,65,52,2297.4,129,,103,13,18.2,2.0,18.0,109.0,1,109.0,123,2,1.6,14.0,84.5,0.0,3,11.2 / 0.0,10.1,296364,5464,5379,,,,,,,5081,116
2018-01-18 21:39:37.845,-82.1,-7.8,-52.5,19.4,19.2,-82.1,-7.8,-52.5,-88.5,-8.0,-59.5,,90,51,2386.8,178,,144,18,19.3,0.0,6.0,172.0,1,172.0,123,2,0.0,3.4,96.6,0.0,3,11.2 / 0.0,10.1,424844,5927,5540,,,,,,,5081,159
2018-01-18 21:39:38.50,-81.1,-9.5,-49.7,21.0,20.5,-81.1,-9.5,-49.7,-88.6,-9.7,-58.3,,90,51,2386.8,178,,144,18,19.3,0.0,6.0,172.0,1,172.0,123,2,0.0,3.4,96.6,0.0,3,11.2 / 0.0,10.1,424844,5927,5540,,,,,,,5081,159
2018-01-18 21:39:38.85,-81.1,-9.5,-49.7,21.0,20.5,-81.1,-9.5,-49.7,-88.6,-9.7,-58.3,,90,51,2386.8,178,,144,18,19.3,0.0,6.0,172.0,1,172.0,123,2,0.0,3.4,96.6,0.0,3,11.7 / 0.0,10.1,424844,5927,5540,,,,,,,5081,159
2018-01-18 21:39:38.345,-81.1,-9.5,-49.7,21.0,20.5,-81.1,-9.5,-49.7,-88.6,-9.7,-58.3,,90,51,2386.8,178,,144,18,19.3,0.0,6.0,172.0,1,172.0,123,2,0.0,3.4,96.6,0.0,3,11.7 / 0.0,10.1,424844,5927,5540,,,,,,5424,5081,159
2018-01-18 21:39:38.345,-81.1,-9.5,-49.7,21.0,20.5,-81.1,-9.5,-49.7,-88.6,-9.7,-58.3,,90,51,2386.8,178,,144,18,19.3,0.0,6.0,172.0,1,172.0,112,4,0.0,3.4,96.6,0.0,3,11.7 / 0.0,10.1,424844,5927,5540,,,,,,5424,5081,159
2018-01-18 21:39:38.355,-81.1,-9.5,-49.7,21.0,20.5,-81.1,-9.5,-49.7,-88.6,-9.7,-58.3,,92,53,2923.8,183,,169,7,21.1,0.0,0.0,183.0,1,183.0,112,4,0.0,0.0,100.0,0.0,3,11.7 / 0.0,3.8,535057,7223,7148,,,,,,5424,5081,176
2018-01-18 21:39:38.590,-81.1,-9.5,-49.7,21.0,20.5,-81.1,-9.5,-49.7,-88.6,-9.7,-58.3,20,92,53,2923.8,183,2,169,7,21.1,0.0,0.0,183.0,1,183.0,112,4,0.0,0.0,100.0,0.0,3,11.7 / 0.0,3.8,535057,7223,7148,,,,,,5424,5081,176
2018-01-18 21:39:38.700,-81.1,-9.5,-49.7,21.0,20.5,-81.1,-9.5,-49.7,-88.6,-9.7,-58.3,20,92,53,2923.8,183,2,169,7,21.1,0.0,0.0,183.0,1,183.0,112,4,0.0,0.0,100.0,0.0,3,11.7 / 0.0,3.8,535057,7223,7148,,,,,,5424,14087,176
2018-01-18 21:39:38.740,-81.3,-10.7,-49.1,20.5,18.8,-81.3,-10.7,-49.1,-88.8,-10.2,-57.9,20,92,53,2923.8,183,2,169,7,21.1,0.0,0.0,183.0,1,183.0,112,4,0.0,0.0,100.0,0.0,3,11.7 / 0.0,3.8,535057,7223,7148,,,,,,5424,14087,176
2018-01-18 21:39:38.755,-81.3,-10.7,-49.1,20.5,18.8,-81.3,-10.7,-49.1,-88.8,-10.2,-57.9,20,92,53,2923.8,183,2,169,7,21.1,0.0,0.0,183.0,1,183.0,112,4,0.0,0.0,100.0,0.0,3,11.5 / 0.0,3.8,535057,7223,7148,,,,,,5424,14087,176
2018-01-18 21:39:38.835,-81.3,-10.7,-49.1,20.5,18.8,-81.3,-10.7,-49.1,-88.8,-10.2,-57.9,20,92,53,2923.8,183,2,169,7,21.1,0.0,0.0,183.0,1,183.0,150,3,0.0,0.0,100.0,0.0,3,11.5 / 0.0,3.8,535057,7223,7148,,,,,,5424,14087,176
2018-01-18 21:39:38.860,-81.3,-10.7,-49.1,20.5,18.8,-81.3,-10.7,-49.1,-88.8,-10.2,-57.9,20,236,63,3543.8,466,2,410,28,21.4,0.0,0.0,466.0,1,466.0,150,3,0.0,0.0,100.0,0.0,3,11.5 / 0.0,6.0,1651415,25675,24634,,,,,,5424,14087,438
2018-01-18 21:39:39.255,-81.3,-10.7,-49.1,20.5,18.8,-81.3,-10.7,-49.1,-88.8,-10.2,-57.9,20,236,63,3543.8,466,2,410,28,21.4,0.0,0.0,466.0,1,466.0,150,3,0.0,0.0,100.0,0.0,3,11.8 / 0.0,6.0,1651415,25675,24634,,,,,,5424,14087,438
2018-01-18 21:39:39.255,-81.6,-8.2,-50.7,20.9,19.6,-81.6,-8.2,-50.7,-88.6,-8.6,-58.9,20,236,63,3543.8,466,2,410,28,21.4,0.0,0.0,466.0,1,466.0,150,3,0.0,0.0,100.0,0.0,3,11.8 / 0.0,6.0,1651415,25675,24634,,,,,,5424,14087,438
2018-01-18 21:39:39.350,-81.6,-8.2,-50.7,20.9,19.6,-81.6,-8.2,-50.7,-88.6,-8.6,-58.9,20,236,63,3543.8,466,2,410,28,21.4,0.0,0.0,466.0,1,466.0,138,1,0.0,0.0,100.0,0.0,3,11.8 / 0.0,6.0,1651415,25675,24634,,,,,,5424,14087,438
2018-01-18 21:39:39.375,-81.6,-8.2,-50.7,20.9,19.6,-81.6,-8.2,-50.7,-88.6,-8.6,-58.9,20,200,81,5069.3,397,2,327,35,22.7,0.0,0.0,397.0,1,397.0,138,1,0.0,0.0,100.0,0.0,3,11.8 / 0.0,8.8,2012522,32252,30550,,,,,,5424,14087,362
2018-01-18 21:39:39.605,-81.6,-8.2,-50.7,20.9,19.6,-81.6,-8.2,-50.7,-88.6,-8.6,-58.9,20,200,81,5069.3,397,2,327,35,22.7,0.0,0.0,397.0,1,397.0,138,1,0.0,0.0,100.0,0.0,3,11.8 / 0.0,8.8,2012522,32252,30550,,,,,,5424,39170,362
2018-01-18 21:39:39.735,-81.5,-11.8,-48.5,19.8,19.0,-81.5,-11.8,-48.5,-88.6,-10.8,-57.3,20,200,81,5069.3,397,2,327,35,22.7,0.0,0.0,397.0,1,397.0,138,1,0.0,0.0,100.0,0.0,3,11.8 / 0.0,8.8,2012522,32252,30550,,,,,,5424,39170,362
2018-01-18 21:39:39.760,-81.5,-11.8,-48.5,19.8,19.0,-81.5,-11.8,-48.5,-88.6,-10.8,-57.3,20,200,81,5069.3,397,2,327,35,22.7,0.0,0.0,397.0,1,397.0,138,1,0.0,0.0,100.0,0.0,3,11.6 / 0.0,8.8,2012522,32252,30550,,,,,,5424,39170,362
2018-01-18 21:39:39.880,-81.5,-11.8,-48.5,19.8,19.0,-81.5,-11.8,-48.5,-88.6,-10.8,-57.3,20,200,81,5069.3,397,2,327,35,22.7,0.0,0.0,397.0,1,397.0,175,3,0.0,0.0,100.0,0.0,3,11.6 / 0.0,8.8,2012522,32252,30550,,,,,,5424,39170,362
